t	Voltage
114	3.004644
114	3.435653
114	3.755486
114	4.032608
114	4.288485
114	4.498715
114	4.682714
114	4.83942
114	4.970875
114	5.082044
114	5.165814
114	5.22556
114	5.264766
114	5.281815
114	5.277295
114	5.253503
114	5.208419
114	5.142879
114	5.061836
114	4.963274
114	4.849795
114	4.72328
114	4.583841
114	4.438585
114	4.285743
114	4.128419
114	3.964025
114	3.806376
114	3.650168
114	3.498606
114	3.354069
114	3.216132
114	3.0923
114	2.983307
114	2.887908
114	2.807716
114	2.749421
114	2.709854
114	2.68991
114	2.690777
114	2.711717
114	2.754167
114	2.817272
114	2.899069
114	3.0006
114	3.118762
114	3.251204
114	3.395966
114	3.550416
114	3.713245
114	3.880212
114	4.048817
114	4.215874
114	4.382842
114	4.536658
114	4.682001
114	4.816521
114	4.935991
114	5.041151
114	5.128797
114	5.197928
114	5.247235
114	5.279019
114	5.288336
114	5.277859
114	5.248189
114	5.198879
114	5.129182
114	5.044848
114	4.944085
114	4.827457
114	4.697725
114	4.556762
114	4.408716
114	4.253065
114	4.094121
114	3.927807
114	3.769248
114	3.611999
114	3.459404
114	3.313527
114	3.175421
114	3.051679
114	2.941668
114	2.846583
114	2.765818
114	2.70726
114	2.667305
114	2.647122
114	2.647755
114	2.668468
114	2.710634
114	2.77339
114	2.854979
114	2.956487
114	3.074679
114	3.207131
114	3.351964
114	3.511255
114	3.672208
114	3.838933
114	4.007576
114	4.175557
114	4.338321
114	4.495272
114	4.642949
114	4.778751
114	4.899159
114	5.006452
114	5.095401
114	5.165675
114	5.216733
114	5.247023
114	5.256865
114	5.246251
114	5.216421
114	5.165944
114	5.097983
114	5.01316
114	4.91359
114	4.797312
114	4.664908
114	4.527117
114	4.380232
114	4.225811
114	4.06603
114	3.902765
114	3.741757
114	3.584336
114	3.431584
114	3.28177
114	3.146818
114	3.023257
114	2.91382
114	2.8186
114	2.737982
114	2.679299
114	2.639261
114	2.619324
114	2.620012
114	2.641061
114	2.683047
114	2.745971
114	2.827809
114	2.928301
114	3.047641
114	3.180462
114	3.325364
114	3.480627
114	3.648565
114	3.813404
114	3.9817
114	4.149388
114	4.312616
114	4.472344
114	4.620719
114	4.756314
114	4.877263
114	4.986271
114	5.073193
114	5.142535
114	5.193137
114	5.22474
114	5.235366
114	5.225637
114	5.196801
114	5.148095
114	5.079905
114	4.995475
114	4.892919
114	4.777799
114	4.650489
114	4.508943
114	4.363598
114	4.208051
114	4.048358
114	3.886498
114	3.720582
114	3.565655
114	3.41411
114	3.268393
114	3.131771
114	3.004889
114	2.894996
114	2.799993
114	2.722446
114	2.660882
114	2.620252
114	2.60078
114	2.601784
114	2.623085
114	2.665207
114	2.728231
114	2.810261
114	2.91087
114	3.031406
114	3.162956
114	3.307903
114	3.462934
114	3.626071
114	3.79872
114	3.965795
114	4.133236
114	4.296236
114	4.453012
114	4.604489
114	4.739105
114	4.86042
114	4.965909
114	5.055309
114	5.128178
114	5.178304
114	5.20956
114	5.221873
114	5.212152
114	5.181785
