t	Voltage
483	-1.885172
483	-1.88312
483	-1.881274
483	-1.87946
483	-1.877926
483	-1.876422
483	-1.875089
483	-1.87367
483	-1.872739
483	-1.871726
483	-1.870989
483	-1.870324
483	-1.869681
483	-1.869311
483	-1.868689
483	-1.868065
483	-1.867624
483	-1.867438
483	-1.867902
483	-1.869003
483	-1.870692
483	-1.872684
483	-1.874732
483	-1.876648
483	-1.878339
483	-1.879703
483	-1.880779
483	-1.881593
483	-1.882218
483	-1.882622
483	-1.882916
483	-1.883083
483	-1.883112
483	-1.883016
483	-1.882875
483	-1.882729
483	-1.882779
483	-1.883066
483	-1.883687
483	-1.884522
483	-1.885416
483	-1.886184
483	-1.886669
483	-1.88682
483	-1.886672
483	-1.886266
483	-1.885704
483	-1.885076
483	-1.884418
483	-1.883767
483	-1.883181
483	-1.882698
483	-1.882297
483	-1.881991
483	-1.881651
483	-1.881149
483	-1.880415
483	-1.879452
483	-1.878291
483	-1.877064
483	-1.875852
483	-1.874737
483	-1.873841
483	-1.873134
483	-1.8727
483	-1.872522
483	-1.872601
483	-1.872894
483	-1.873373
483	-1.873966
483	-1.874653
483	-1.875417
483	-1.876248
483	-1.877251
483	-1.878398
483	-1.879704
483	-1.881083
483	-1.882393
483	-1.883527
483	-1.884462
483	-1.885209
483	-1.885798
483	-1.886274
483	-1.886712
483	-1.887101
483	-1.887505
483	-1.887934
483	-1.888398
483	-1.888846
483	-1.889293
483	-1.889674
483	-1.889985
483	-1.890083
483	-1.889893
483	-1.889304
483	-1.88834
483	-1.887095
483	-1.885628
483	-1.884076
483	-1.882477
483	-1.880859
483	-1.87928
483	-1.877744
483	-1.876243
483	-1.874812
483	-1.873453
483	-1.872145
483	-1.870935
483	-1.8698
483	-1.868768
483	-1.867827
483	-1.867092
483	-1.866503
483	-1.866174
483	-1.866154
483	-1.86656
483	-1.867439
483	-1.868838
483	-1.870689
483	-1.872718
483	-1.874811
483	-1.87674
483	-1.878373
483	-1.879662
483	-1.880613
483	-1.881271
483	-1.881634
483	-1.881794
483	-1.881724
483	-1.881544
483	-1.881253
483	-1.880986
483	-1.880734
483	-1.88068
483	-1.880826
483	-1.8813
483	-1.882069
483	-1.883089
483	-1.884167
483	-1.885094
483	-1.885724
483	-1.885997
483	-1.886025
483	-1.88587
483	-1.885647
483	-1.885411
483	-1.885237
483	-1.885191
483	-1.885239
483	-1.885334
483	-1.885498
483	-1.885645
483	-1.885652
483	-1.885473
483	-1.88496
483	-1.884102
483	-1.882962
483	-1.881635
483	-1.88028
483	-1.879009
483	-1.877825
483	-1.876874
483	-1.87604
483	-1.87536
483	-1.874782
483	-1.874293
483	-1.873826
483	-1.873345
483	-1.872872
483	-1.872422
483	-1.872029
483	-1.871774
483	-1.871778
483	-1.872152
483	-1.872929
483	-1.874161
483	-1.875692
483	-1.877388
483	-1.879043
483	-1.880562
483	-1.881913
483	-1.883094
483	-1.884085
483	-1.88494
483	-1.885632
483	-1.886198
483	-1.886629
483	-1.886969
483	-1.887215
483	-1.887411
483	-1.887628
483	-1.887873
483	-1.888246
483	-1.888691
483	-1.889131
483	-1.889476
483	-1.889472
483	-1.889087
483	-1.888298
483	-1.887232
483	-1.885882
483	-1.884362
483	-1.882764
483	-1.881159
483	-1.879593
483	-1.878052
483	-1.876627
483	-1.875297
483	-1.874039
483	-1.872872
483	-1.871756
483	-1.870655
483	-1.869609
483	-1.86868
483	-1.867869
483	-1.867232
483	-1.866807
483	-1.866675
483	-1.866951
483	-1.867693
483	-1.868981
483	-1.87071
483	-1.872702
483	-1.874768
483	-1.876706
483	-1.878385
483	-1.879754
483	-1.880848
483	-1.881598
483	-1.882132
483	-1.882391
483	-1.882425
483	-1.882332
483	-1.882144
483	-1.881884
483	-1.881666
483	-1.881582
483	-1.881685
483	-1.882091
483	-1.882796
