t	Voltage
165	-1.848236
165	-1.847995
165	-1.847772
165	-1.847553
165	-1.847368
165	-1.84716
165	-1.846992
165	-1.846828
165	-1.846709
165	-1.846594
165	-1.846509
165	-1.846438
165	-1.846361
165	-1.846339
165	-1.846274
165	-1.846225
165	-1.846148
165	-1.846136
165	-1.846219
165	-1.846359
165	-1.846595
165	-1.846871
165	-1.847166
165	-1.847443
165	-1.847705
165	-1.847873
165	-1.848048
165	-1.848193
165	-1.848277
165	-1.848337
165	-1.848391
165	-1.848427
165	-1.848422
165	-1.848436
165	-1.848417
165	-1.848404
165	-1.848415
165	-1.84846
165	-1.848549
165	-1.848699
165	-1.848821
165	-1.84896
165	-1.849052
165	-1.84906
165	-1.849052
165	-1.848995
165	-1.848894
165	-1.848831
165	-1.84873
165	-1.848632
165	-1.848563
165	-1.848494
165	-1.848462
165	-1.848393
165	-1.84835
165	-1.84827
165	-1.848182
165	-1.848042
165	-1.847895
165	-1.847697
165	-1.847558
165	-1.847406
165	-1.847285
165	-1.847209
165	-1.847157
165	-1.847133
165	-1.847137
165	-1.847162
165	-1.847249
165	-1.847349
165	-1.847408
165	-1.847535
165	-1.847657
165	-1.847796
165	-1.847964
165	-1.848147
165	-1.848366
165	-1.848552
165	-1.848726
165	-1.84887
165	-1.848956
165	-1.849051
165	-1.849128
165	-1.849212
165	-1.849256
165	-1.849315
165	-1.849415
165	-1.849486
165	-1.849529
165	-1.849607
165	-1.849666
165	-1.849717
165	-1.849754
165	-1.849721
165	-1.849629
165	-1.849504
165	-1.849294
165	-1.849081
165	-1.848863
165	-1.848633
165	-1.848393
165	-1.848165
165	-1.847967
165	-1.847747
165	-1.847532
165	-1.84737
165	-1.847186
165	-1.847038
165	-1.846874
165	-1.846752
165	-1.846624
165	-1.84654
165	-1.846474
165	-1.846432
165	-1.846439
165	-1.846481
165	-1.846573
165	-1.846778
165	-1.847026
165	-1.847289
165	-1.847588
165	-1.84785
165	-1.848099
165	-1.848275
165	-1.848399
165	-1.848493
165	-1.848543
165	-1.848575
165	-1.848575
165	-1.848545
165	-1.848511
165	-1.848469
165	-1.848454
165	-1.848418
165	-1.84844
165	-1.848547
165	-1.848649
165	-1.848787
165	-1.848964
165	-1.849085
165	-1.849185
165	-1.849213
165	-1.84926
165	-1.849229
165	-1.849194
165	-1.849158
165	-1.849127
165	-1.849134
165	-1.849132
165	-1.849164
165	-1.849183
165	-1.849193
165	-1.849216
165	-1.849186
165	-1.849112
165	-1.848981
165	-1.8488
165	-1.84861
165	-1.84841
165	-1.84822
165	-1.848059
165	-1.847941
165	-1.847848
165	-1.847741
165	-1.847654
165	-1.847575
165	-1.847517
165	-1.847487
165	-1.84741
165	-1.847352
165	-1.847293
165	-1.847268
165	-1.847254
165	-1.847296
165	-1.847389
165	-1.847595
165	-1.847815
165	-1.84803
165	-1.848245
165	-1.848486
165	-1.84868
165	-1.848868
165	-1.84899
165	-1.849147
165	-1.849216
165	-1.849344
165	-1.849388
165	-1.849438
165	-1.849499
165	-1.849532
165	-1.849565
165	-1.849589
165	-1.84966
165	-1.849715
165	-1.849779
165	-1.849827
165	-1.849841
165	-1.849789
165	-1.849659
165	-1.849506
165	-1.849299
165	-1.84907
165	-1.848836
165	-1.8486
165	-1.848393
165	-1.848192
165	-1.847982
165	-1.847811
165	-1.84762
165	-1.847444
165	-1.847321
165	-1.84716
165	-1.847023
165	-1.846914
165	-1.84681
165	-1.846726
165	-1.846679
165	-1.846664
165	-1.846669
165	-1.846784
165	-1.846948
165	-1.847149
165	-1.847418
165	-1.847717
165	-1.847991
165	-1.84824
165	-1.848418
165	-1.848569
165	-1.848685
165	-1.848778
165	-1.848827
165	-1.848816
165	-1.848808
165	-1.848759
165	-1.848725
165	-1.848703
165	-1.848679
165	-1.848698
165	-1.848756
165	-1.848869
165	-1.84899
165	-1.849141
165	-1.849286
165	-1.849363
165	-1.849417
165	-1.84938
165	-1.849333
165	-1.849273
165	-1.849193
165	-1.849152
165	-1.849101
165	-1.849076
165	-1.849037
165	-1.849046
165	-1.849048
165	-1.849007
165	-1.849013
165	-1.848875
165	-1.848761
165	-1.8486
165	-1.848433
165	-1.848236
165	-1.848055
165	-1.84793
165	-1.847816
165	-1.847737
165	-1.847694
165	-1.847661
165	-1.847631
165	-1.847649
165	-1.847649
165	-1.847652
165	-1.84765
165	-1.847682
165	-1.847703
165	-1.847785
165	-1.847905
165	-1.848048
165	-1.848284
165	-1.848486
165	-1.848693
165	-1.848883
165	-1.849034
165	-1.849196
165	-1.849298
165	-1.8494
165	-1.849507
165	-1.849579
165	-1.849656
165	-1.849737
165	-1.849784
165	-1.849818
165	-1.849911
165	-1.849948
165	-1.850019
165	-1.85004
165	-1.850068
165	-1.850013
165	-1.849921
165	-1.849774
165	-1.849557
165	-1.849318
165	-1.849085
165	-1.848825
165	-1.848568
165	-1.848348
165	-1.848099
165	-1.847889
165	-1.847674
165	-1.847484
165	-1.847332
165	-1.847172
165	-1.847043
165	-1.846907
165	-1.846784
165	-1.846697
165	-1.846635
165	-1.846596
165	-1.846629
165	-1.846688
165	-1.846783
165	-1.847017
165	-1.847244
165	-1.847547
165	-1.847833
165	-1.848066
165	-1.84829
165	-1.848464
165	-1.848559
165	-1.848652
165	-1.848705
165	-1.848715
165	-1.848697
165	-1.84867
165	-1.848609
165	-1.848582
165	-1.848536
165	-1.848531
165	-1.848571
165	-1.848646
165	-1.84878
165	-1.84893
165	-1.849085
165	-1.849231
165	-1.84934
165	-1.849403
165	-1.849418
165	-1.849429
165	-1.849426
165	-1.849397
165	-1.849418
165	-1.849426
165	-1.849454
165	-1.849506
165	-1.849537
165	-1.849572
165	-1.849587
165	-1.849574
165	-1.84951
165	-1.849407
165	-1.849218
165	-1.849046
165	-1.848848
165	-1.84864
165	-1.84845
165	-1.848287
165	-1.848168
165	-1.848038
165	-1.847889
165	-1.847794
165	-1.847694
165	-1.847587
165	-1.847481
165	-1.847412
165	-1.847304
165	-1.847234
165	-1.84718
165	-1.847191
165	-1.847251
165	-1.847362
165	-1.84754
165	-1.84777
165	-1.848007
165	-1.848271
165	-1.848524
165	-1.848722
165	-1.848919
165	-1.849058
165	-1.849204
165	-1.849299
165	-1.849347
165	-1.849402
165	-1.849429
165	-1.849425
165	-1.849431
165	-1.849457
165	-1.849483
165	-1.849539
165	-1.849624
165	-1.849683
165	-1.849775
165	-1.849854
165	-1.849873
165	-1.84983
165	-1.849695
165	-1.849543
165	-1.849357
165	-1.849172
165	-1.84897
165	-1.848788
165	-1.848609
165	-1.84845
165	-1.848271
165	-1.848175
165	-1.848028
165	-1.847908
165	-1.847768
165	-1.847628
165	-1.847485
165	-1.847345
165	-1.847237
165	-1.847155
165	-1.847109
165	-1.847068
165	-1.84714
165	-1.847245
165	-1.847364
165	-1.847589
165	-1.847815
165	-1.848109
165	-1.848343
165	-1.848576
165	-1.848782
165	-1.848967
165	-1.849097
165	-1.849205
165	-1.849282
165	-1.849306
165	-1.849306
165	-1.849308
165	-1.849321
165	-1.849316
165	-1.849322
165	-1.849337
165	-1.849405
165	-1.849489
165	-1.849622
165	-1.849728
165	-1.849764
165	-1.849783
165	-1.84975
165	-1.849651
165	-1.849486
165	-1.849349
165	-1.849153
165	-1.849005
165	-1.848861
165	-1.84875
165	-1.848604
165	-1.84849
165	-1.848431
165	-1.848314
165	-1.848185
165	-1.848064
165	-1.847893
165	-1.847769
165	-1.847599
165	-1.847492
165	-1.847383
165	-1.847335
165	-1.847296
165	-1.847375
165	-1.847448
165	-1.847581
165	-1.847776
165	-1.847958
165	-1.848179
165	-1.848411
165	-1.848632
165	-1.848832
165	-1.849022
165	-1.849177
165	-1.849305
165	-1.849407
165	-1.849485
165	-1.84953
165	-1.849565
165	-1.849563
165	-1.849589
165	-1.849604
165	-1.849646
165	-1.849708
165	-1.849786
165	-1.849866
165	-1.849961
165	-1.849998
165	-1.849985
165	-1.849903
165	-1.84976
165	-1.849594
165	-1.849391
165	-1.849182
165	-1.848976
165	-1.848765
165	-1.84858
165	-1.848407
165	-1.848237
165	-1.848074
165	-1.847954
165	-1.847793
165	-1.847631
165	-1.847503
165	-1.847375
165	-1.847229
165	-1.847129
165	-1.847039
165	-1.847019
165	-1.847017
165	-1.847086
165	-1.847215
165	-1.847394
165	-1.847643
165	-1.847892
165	-1.848155
165	-1.848403
165	-1.848657
165	-1.848834
165	-1.849005
165	-1.849117
165	-1.849173
165	-1.849237
165	-1.849236
165	-1.849228
165	-1.84919
165	-1.849186
165	-1.849154
165	-1.849185
165	-1.84921
165	-1.84929
165	-1.849417
165	-1.849513
165	-1.84965
165	-1.849723
165	-1.849742
165	-1.849705
165	-1.849625
165	-1.84953
165	-1.849387
165	-1.849265
165	-1.849129
165	-1.849067
165	-1.848976
165	-1.848895
