t	Voltage
171	-1.856728
171	-1.855911
171	-1.85517
171	-1.854426
171	-1.853787
171	-1.853204
171	-1.852692
171	-1.852131
171	-1.851751
171	-1.85138
171	-1.851076
171	-1.8508
171	-1.850565
171	-1.85041
171	-1.850207
171	-1.84994
171	-1.849777
171	-1.849709
171	-1.849906
171	-1.850331
171	-1.850969
171	-1.851772
171	-1.852591
171	-1.853386
171	-1.854049
171	-1.85463
171	-1.855062
171	-1.855411
171	-1.855664
171	-1.855842
171	-1.855955
171	-1.856009
171	-1.856047
171	-1.856028
171	-1.855959
171	-1.85591
171	-1.855915
171	-1.856053
171	-1.856279
171	-1.856637
171	-1.857022
171	-1.857354
171	-1.857554
171	-1.857623
171	-1.857566
171	-1.85739
171	-1.857161
171	-1.856873
171	-1.856603
171	-1.85636
171	-1.856113
171	-1.855904
171	-1.855776
171	-1.855631
171	-1.855492
171	-1.855276
171	-1.854975
171	-1.854573
171	-1.854112
171	-1.853591
171	-1.853105
171	-1.852693
171	-1.852327
171	-1.852059
171	-1.851881
171	-1.851814
171	-1.851839
171	-1.851937
171	-1.852137
171	-1.852393
171	-1.852669
171	-1.852953
171	-1.853305
171	-1.853691
171	-1.854159
171	-1.854703
171	-1.855272
171	-1.855809
171	-1.856265
171	-1.856665
171	-1.856962
171	-1.857224
171	-1.857433
171	-1.857614
171	-1.857774
171	-1.857957
171	-1.858127
171	-1.858304
171	-1.858508
171	-1.858713
171	-1.858859
171	-1.858989
171	-1.859038
171	-1.858945
171	-1.858714
171	-1.8583
171	-1.857781
171	-1.857162
171	-1.856524
171	-1.855859
171	-1.855201
171	-1.85453
171	-1.853923
171	-1.853313
171	-1.852729
171	-1.852197
171	-1.851692
171	-1.851187
171	-1.850748
171	-1.85034
171	-1.850003
171	-1.849721
171	-1.849483
171	-1.84935
171	-1.849344
171	-1.849502
171	-1.84984
171	-1.850395
171	-1.851087
171	-1.851898
171	-1.85274
171	-1.853506
171	-1.854158
171	-1.854708
171	-1.855088
171	-1.855363
171	-1.855518
171	-1.855587
171	-1.855559
171	-1.855485
171	-1.855359
171	-1.855265
171	-1.855126
171	-1.855132
171	-1.855199
171	-1.855386
171	-1.855718
171	-1.856126
171	-1.856586
171	-1.856968
171	-1.857214
171	-1.857349
171	-1.857358
171	-1.857288
171	-1.857178
171	-1.857103
171	-1.85703
171	-1.857005
171	-1.857023
171	-1.857057
171	-1.857153
171	-1.857191
171	-1.857217
171	-1.857124
171	-1.856918
171	-1.856575
171	-1.856091
171	-1.855544
171	-1.854989
171	-1.854437
171	-1.853981
171	-1.85358
171	-1.853251
171	-1.852984
171	-1.852764
171	-1.852576
171	-1.85238
171	-1.852183
171	-1.851976
171	-1.85181
171	-1.851657
171	-1.851573
171	-1.851552
171	-1.85169
171	-1.852016
171	-1.852513
171	-1.853122
171	-1.853811
171	-1.854473
171	-1.855083
171	-1.855657
171	-1.856149
171	-1.85656
171	-1.856928
171	-1.857224
171	-1.857444
171	-1.857628
171	-1.857753
171	-1.857869
171	-1.857962
171	-1.858054
171	-1.858167
171	-1.858315
171	-1.858487
171	-1.858687
171	-1.858818
171	-1.858818
171	-1.858661
171	-1.858361
171	-1.857874
171	-1.85733
171	-1.856707
171	-1.856031
171	-1.855368
171	-1.854716
171	-1.854097
171	-1.853523
171	-1.852987
171	-1.852481
171	-1.852004
171	-1.851582
171	-1.851135
171	-1.850744
171	-1.850367
171	-1.850065
171	-1.849827
171	-1.849664
171	-1.849607
171	-1.849716
171	-1.850004
171	-1.850494
171	-1.851153
171	-1.851961
171	-1.852768
171	-1.853545
171	-1.854253
171	-1.854819
171	-1.855235
171	-1.855567
171	-1.85577
171	-1.855903
171	-1.855909
171	-1.855849
171	-1.855792
171	-1.855692
171	-1.855588
171	-1.855565
171	-1.855605
171	-1.855779
171	-1.85604
171	-1.856444
171	-1.856852
171	-1.85722
171	-1.857456
171	-1.857537
171	-1.857494
171	-1.857348
171	-1.857201
171	-1.856995
171	-1.856836
171	-1.856705
171	-1.856602
171	-1.856576
171	-1.856548
171	-1.856548
171	-1.856504
171	-1.856375
171	-1.856136
171	-1.855783
171	-1.855284
171	-1.854761
171	-1.854236
171	-1.853734
171	-1.853339
171	-1.853008
171	-1.852767
171	-1.852637
171	-1.85254
171	-1.85251
171	-1.852522
171	-1.852511
171	-1.852526
171	-1.852526
171	-1.85256
171	-1.852653
171	-1.852863
171	-1.853225
171	-1.853721
171	-1.854289
171	-1.854917
171	-1.855511
171	-1.856009
171	-1.856478
171	-1.856864
171	-1.857205
171	-1.857465
171	-1.857753
171	-1.857978
171	-1.858181
171	-1.858363
171	-1.858531
171	-1.858674
171	-1.858843
171	-1.858997
171	-1.859153
171	-1.859265
171	-1.859282
171	-1.85914
171	-1.858852
171	-1.858432
171	-1.857852
171	-1.857229
171	-1.85655
171	-1.855856
171	-1.855112
171	-1.854435
171	-1.853763
171	-1.853137
171	-1.852533
171	-1.851978
171	-1.851472
171	-1.851015
171	-1.850574
171	-1.850192
171	-1.849861
171	-1.849574
171	-1.849393
171	-1.849265
171	-1.8493
171	-1.849472
171	-1.849839
171	-1.850436
171	-1.851228
171	-1.852062
171	-1.852895
171	-1.853631
171	-1.854256
171	-1.854721
171	-1.855088
171	-1.855286
171	-1.855407
171	-1.855426
171	-1.855385
171	-1.855289
171	-1.855139
171	-1.855032
171	-1.854922
171	-1.854919
171	-1.854974
171	-1.855211
171	-1.855568
171	-1.856013
171	-1.856484
171	-1.856889
171	-1.857166
171	-1.857318
171	-1.857394
171	-1.85738
171	-1.857376
171	-1.857344
171	-1.857361
171	-1.857409
171	-1.857477
171	-1.857593
171	-1.857709
171	-1.857816
171	-1.857865
171	-1.857822
171	-1.857644
171	-1.857301
171	-1.856815
171	-1.856272
171	-1.8557
171	-1.855138
171	-1.85459
171	-1.854128
171	-1.853714
171	-1.853361
171	-1.853011
171	-1.852682
171	-1.852367
171	-1.85206
171	-1.851779
171	-1.851471
171	-1.851227
171	-1.850982
171	-1.850877
171	-1.850862
171	-1.851022
171	-1.851394
171	-1.851909
171	-1.852574
171	-1.853272
171	-1.854015
171	-1.854672
171	-1.855293
171	-1.855806
171	-1.856242
171	-1.856596
171	-1.856864
171	-1.857054
171	-1.857187
171	-1.857255
171	-1.857306
171	-1.857309
171	-1.857315
171	-1.857387
171	-1.857525
171	-1.857744
171	-1.857991
171	-1.858253
171	-1.85843
171	-1.858456
171	-1.85831
171	-1.858011
171	-1.857573
171	-1.857044
171	-1.856515
171	-1.855956
171	-1.855395
171	-1.854901
171	-1.854441
171	-1.854028
171	-1.853631
171	-1.853236
171	-1.852855
171	-1.852444
171	-1.852012
171	-1.851594
171	-1.851218
171	-1.850864
171	-1.850613
171	-1.850473
171	-1.850415
171	-1.85055
171	-1.850837
171	-1.851344
171	-1.851936
171	-1.852657
171	-1.853389
171	-1.854112
171	-1.854782
171	-1.855366
171	-1.855858
171	-1.856255
171	-1.856557
171	-1.856743
171	-1.856858
171	-1.856865
171	-1.856884
171	-1.856831
171	-1.856806
171	-1.856814
171	-1.856916
171	-1.857083
171	-1.857365
171	-1.857667
171	-1.857965
171	-1.858165
171	-1.858178
171	-1.858047
171	-1.857748
171	-1.857344
171	-1.856905
171	-1.856402
171	-1.85598
171	-1.855573
171	-1.855181
171	-1.854872
171	-1.854571
171	-1.854274
171	-1.853978
171	-1.853636
171	-1.853245
171	-1.852819
171	-1.852343
171	-1.851915
171	-1.851557
171	-1.851283
171	-1.851115
171	-1.851092
171	-1.851182
171	-1.851455
171	-1.85186
171	-1.852391
171	-1.852972
171	-1.853579
171	-1.854212
171	-1.854831
171	-1.855418
171	-1.855962
171	-1.856418
171	-1.856794
171	-1.857062
171	-1.857289
171	-1.857375
171	-1.857453
171	-1.8575
171	-1.857514
171	-1.857607
171	-1.857718
171	-1.857896
171	-1.858125
171	-1.85838
171	-1.858559
171	-1.858696
171	-1.85864
171	-1.858437
171	-1.858066
171	-1.857576
171	-1.856994
171	-1.856398
171	-1.855785
171	-1.855198
171	-1.854664
171	-1.854158
171	-1.853679
171	-1.853244
171	-1.852813
171	-1.852363
171	-1.851964
171	-1.851493
171	-1.851114
171	-1.850729
171	-1.850447
171	-1.850209
171	-1.850075
171	-1.850103
171	-1.850294
171	-1.850684
171	-1.851225
171	-1.851934
171	-1.852668
171	-1.853461
171	-1.854183
171	-1.854856
171	-1.85539
171	-1.855813
171	-1.856144
171	-1.856356
171	-1.856488
171	-1.856512
171	-1.85647
171	-1.856431
171	-1.856358
171	-1.8563
171	-1.856332
171	-1.856418
171	-1.856652
171	-1.856974
171	-1.857322
171	-1.857657
171	-1.857869
171	-1.857923
171	-1.857811
171	-1.857561
171	-1.857254
171	-1.856891
171	-1.856546
171	-1.856227
171	-1.855951
171	-1.855691
171	-1.855522
171	-1.855355
171	-1.855201
171	-1.854974
171	-1.854699
171	-1.854307
171	-1.85386
171	-1.853376
171	-1.85291
171	-1.852497
171	-1.85215
171	-1.851961
171	-1.851865
171	-1.851883
171	-1.852027
171	-1.85229
171	-1.85261
171	-1.852965
171	-1.853371
171	-1.853801
171	-1.854241
171	-1.85472
171	-1.855253
171	-1.855749
171	-1.856244
171	-1.856709
171	-1.857076
171	-1.857355
171	-1.85757
171	-1.857746
171	-1.857864
171	-1.858024
171	-1.858188
171	-1.858342
171	-1.858525
171	-1.858731
171	-1.858918
171	-1.859066
171	-1.859123
171	-1.859117
171	-1.858936
171	-1.8586
171	-1.85813
171	-1.857537
171	-1.856862
171	-1.856202
171	-1.855514
171	-1.854878
171	-1.854244
171	-1.853641
171	-1.853093
171	-1.852527
171	-1.852011
171	-1.851538
171	-1.851083
171	-1.850673
171	-1.850291
171	-1.849962
171	-1.84972
171	-1.849562
171	-1.849521
171	-1.849614
171	-1.849884
171	-1.850373
171	-1.851032
171	-1.851843
171	-1.852685
171	-1.85347
171	-1.854163
171	-1.854724
171	-1.855167
171	-1.855494
171	-1.855671
171	-1.85576
171	-1.855765
171	-1.855717
171	-1.855604
171	-1.855477
171	-1.855391
171	-1.855342
171	-1.855363
171	-1.855518
171	-1.855815
171	-1.856208
171	-1.856634
171	-1.857056
171	-1.857325
171	-1.857495
171	-1.857499
171	-1.857437
171	-1.857348
171	-1.857215
171	-1.85712
171	-1.857063
171	-1.85705
171	-1.857069
171	-1.857116
171	-1.857175
171	-1.857202
171	-1.857136
171	-1.856933
171	-1.856632
171	-1.856193
171	-1.855649
171	-1.855086
171	-1.854584
171	-1.854082
171	-1.853693
171	-1.853346
171	-1.853109
171	-1.852904
171	-1.852718
171	-1.852554
171	-1.852402
171	-1.852256
171	-1.852083
171	-1.85198
171	-1.851904
171	-1.851897
171	-1.852026
171	-1.852339
171	-1.852818
171	-1.853433
171	-1.854111
171	-1.854754
171	-1.855367
171	-1.855901
171	-1.856399
171	-1.856784
171	-1.85715
171	-1.857443
171	-1.857662
171	-1.857884
171	-1.858031
171	-1.858151
171	-1.858252
171	-1.858358
171	-1.858477
171	-1.858636
171	-1.858814
171	-1.858997
171	-1.85911
171	-1.859061
171	-1.858838
171	-1.858479
171	-1.857981
171	-1.857378
171	-1.856758
171	-1.856056
171	-1.855363
171	-1.854732
171	-1.854072
171	-1.853479
171	-1.852936
171	-1.852427
171	-1.85193
171	-1.85147
171	-1.851057
171	-1.850665
171	-1.850307
171	-1.849982
171	-1.849765
171	-1.849651
171	-1.849638
171	-1.849751
171	-1.85009
171	-1.850633
171	-1.851333
171	-1.852157
171	-1.85299
171	-1.853752
171	-1.854417
171	-1.854948
171	-1.855343
171	-1.855615
171	-1.855799
171	-1.855851
171	-1.855854
171	-1.855811
171	-1.855687
171	-1.855587
171	-1.855504
171	-1.855491
171	-1.855523
171	-1.855713
171	-1.85603
171	-1.856461
171	-1.856866
171	-1.857236
171	-1.857483
171	-1.857575
171	-1.857588
171	-1.857472
171	-1.857343
171	-1.857206
171	-1.857089
171	-1.857018
171	-1.857
171	-1.857027
171	-1.857044
171	-1.857092
171	-1.857076
171	-1.856951
171	-1.85672
171	-1.856337
171	-1.855862
171	-1.855325
171	-1.854779
171	-1.854282
171	-1.853816
171	-1.853475
171	-1.853188
171	-1.852953
171	-1.852811
171	-1.852674
171	-1.852533
171	-1.852448
171	-1.852334
171	-1.852228
171	-1.852126
171	-1.85214
171	-1.852196
171	-1.852462
171	-1.852885
171	-1.853417
171	-1.854055
171	-1.854711
171	-1.855334
171	-1.855893
171	-1.85638
171	-1.85679
171	-1.857133
171	-1.857453
171	-1.857704
171	-1.857927
171	-1.858105
171	-1.858262
171	-1.858369
171	-1.858501
171	-1.858622
171	-1.858758
171	-1.858958
171	-1.859116
171	-1.859211
171	-1.859179
171	-1.85899
171	-1.858642
171	-1.858145
171	-1.857536
171	-1.856868
171	-1.856206
171	-1.855514
171	-1.854839
171	-1.854153
171	-1.853546
171	-1.852954
171	-1.852446
171	-1.851925
171	-1.851501
171	-1.851033
171	-1.850625
171	-1.850286
171	-1.849984
171	-1.849742
171	-1.849617
171	-1.84954
171	-1.849682
171	-1.849964
171	-1.850477
171	-1.851162
171	-1.851987
171	-1.852822
171	-1.853606
171	-1.854284
171	-1.854801
171	-1.855222
171	-1.855505
171	-1.855715
171	-1.855777
171	-1.855779
171	-1.855697
171	-1.855595
171	-1.855481
171	-1.85536
171	-1.855317
171	-1.85535
171	-1.855523
171	-1.85583
171	-1.856258
171	-1.856698
171	-1.857077
171	-1.857394
171	-1.857545
171	-1.857565
171	-1.85752
171	-1.857447
171	-1.857355
171	-1.857275
171	-1.857238
171	-1.857238
171	-1.857288
171	-1.857363
171	-1.85743
171	-1.857443
171	-1.857414
171	-1.857198
171	-1.856898
171	-1.856446
171	-1.85591
171	-1.855341
171	-1.854795
171	-1.854295
171	-1.853885
171	-1.853544
171	-1.853235
171	-1.852993
171	-1.852803
171	-1.85261
171	-1.852404
171	-1.852207
171	-1.852027
171	-1.851847
171	-1.851723
171	-1.851687
171	-1.8518
171	-1.852094
171	-1.852522
171	-1.853139
171	-1.853813
171	-1.854493
171	-1.855139
171	-1.855699
171	-1.856202
171	-1.856643
171	-1.857018
171	-1.857342
171	-1.857562
171	-1.857764
171	-1.857916
171	-1.858005
171	-1.858096
171	-1.858184
171	-1.858269
171	-1.8584
171	-1.858609
171	-1.858801
171	-1.858948
171	-1.859013
171	-1.858902
171	-1.858646
171	-1.858214
171	-1.857671
171	-1.85707
171	-1.856426
171	-1.855762
171	-1.855095
171	-1.854468
171	-1.853895
171	-1.853349
171	-1.85286
171	-1.852377
171	-1.851926
171	-1.851491
171	-1.851104
171	-1.850715
171	-1.850384
171	-1.850118
171	-1.849904
171	-1.849827
171	-1.849876
171	-1.850119
171	-1.850552
171	-1.851154
171	-1.851926
171	-1.852748
171	-1.853548
171	-1.854267
171	-1.854862
171	-1.855357
171	-1.855713
171	-1.855942
171	-1.856105
171	-1.856158
171	-1.856118
171	-1.856058
171	-1.85595
171	-1.855858
171	-1.855816
171	-1.855842
171	-1.855965
171	-1.856217
171	-1.856586
171	-1.856972
171	-1.85736
171	-1.857638
171	-1.85775
171	-1.857724
171	-1.857612
171	-1.857397
171	-1.857199
171	-1.857011
171	-1.856856
171	-1.856725
171	-1.856652
171	-1.85664
171	-1.856602
171	-1.856575
171	-1.856441
171	-1.856237
171	-1.855881
171	-1.855426
171	-1.854895
171	-1.854378
171	-1.853895
171	-1.853469
171	-1.853126
171	-1.852878
171	-1.852713
171	-1.852666
171	-1.85264
171	-1.852658
171	-1.852683
171	-1.852724
171	-1.852798
171	-1.852856
171	-1.852964
171	-1.853189
171	-1.853508
171	-1.854008
171	-1.854585
171	-1.855179
171	-1.855765
171	-1.856282
171	-1.85671
171	-1.857082
171	-1.857391
171	-1.85769
171	-1.857951
171	-1.858152
171	-1.858357
171	-1.858555
171	-1.85873
171	-1.858894
171	-1.859036
171	-1.859198
171	-1.859347
171	-1.859443
171	-1.859425
