t	Voltage
144	-1.864672
144	-1.863827
144	-1.863043
144	-1.862266
144	-1.861633
144	-1.861001
144	-1.860462
144	-1.85987
144	-1.859483
144	-1.859062
144	-1.858779
144	-1.858516
144	-1.858262
144	-1.858107
144	-1.857879
144	-1.857636
144	-1.857436
144	-1.857378
144	-1.857574
144	-1.858007
144	-1.858698
144	-1.859523
144	-1.860388
144	-1.861197
144	-1.861884
144	-1.862494
144	-1.862958
144	-1.863313
144	-1.863578
144	-1.863808
144	-1.863907
144	-1.863991
144	-1.864004
144	-1.863969
144	-1.863913
144	-1.863862
144	-1.863872
144	-1.864024
144	-1.864268
144	-1.864644
144	-1.865029
144	-1.865382
144	-1.865592
144	-1.865667
144	-1.865596
144	-1.865425
144	-1.865179
144	-1.864917
144	-1.864636
144	-1.864333
144	-1.864098
144	-1.863869
144	-1.8637
144	-1.863553
144	-1.863408
144	-1.86321
144	-1.862898
144	-1.862475
144	-1.861982
144	-1.861459
144	-1.860942
144	-1.860491
144	-1.860106
144	-1.859821
144	-1.859637
144	-1.859553
144	-1.85958
144	-1.859718
144	-1.859918
144	-1.860167
144	-1.860448
144	-1.86076
144	-1.861121
144	-1.861526
144	-1.862021
144	-1.862583
144	-1.863186
144	-1.863752
144	-1.864235
144	-1.864657
144	-1.864963
144	-1.865224
144	-1.865442
144	-1.86563
144	-1.865812
144	-1.865976
144	-1.866169
144	-1.866355
144	-1.866579
144	-1.866774
144	-1.866956
144	-1.867084
144	-1.867125
144	-1.867029
144	-1.866776
144	-1.866347
144	-1.865805
144	-1.865163
144	-1.864485
144	-1.863762
144	-1.863095
144	-1.862407
144	-1.861733
144	-1.861121
144	-1.860519
144	-1.859936
144	-1.859391
144	-1.858898
144	-1.858438
144	-1.858042
144	-1.857661
144	-1.857374
144	-1.857108
144	-1.856984
144	-1.856987
144	-1.857156
144	-1.857495
144	-1.85807
144	-1.858799
144	-1.859642
144	-1.860519
144	-1.861317
144	-1.862006
144	-1.862571
144	-1.862976
144	-1.863254
144	-1.863388
144	-1.863468
144	-1.863455
144	-1.863381
144	-1.863262
144	-1.863127
144	-1.863047
144	-1.863009
144	-1.863072
144	-1.863279
144	-1.863615
144	-1.864052
144	-1.864524
144	-1.864938
144	-1.865207
144	-1.865347
144	-1.865336
144	-1.865281
144	-1.865183
144	-1.865083
144	-1.865022
144	-1.864961
144	-1.865004
144	-1.865055
144	-1.865122
144	-1.865186
144	-1.865217
144	-1.86512
144	-1.864905
144	-1.864537
144	-1.86405
144	-1.863456
144	-1.862881
144	-1.862313
144	-1.861865
144	-1.86142
144	-1.861084
144	-1.860803
144	-1.860586
144	-1.860349
144	-1.860163
144	-1.85997
144	-1.859778
144	-1.859581
144	-1.859432
144	-1.859334
144	-1.859336
144	-1.859474
144	-1.859792
144	-1.860332
144	-1.860946
144	-1.86167
144	-1.862387
144	-1.863034
144	-1.863632
144	-1.864141
144	-1.864567
144	-1.864942
144	-1.865253
144	-1.865511
144	-1.86568
144	-1.86586
144	-1.865968
144	-1.866066
144	-1.866141
144	-1.866266
144	-1.866416
144	-1.866619
144	-1.866833
144	-1.866984
144	-1.866988
144	-1.866827
144	-1.866486
144	-1.865999
144	-1.865382
144	-1.86473
144	-1.864034
144	-1.863341
144	-1.862658
144	-1.862008
144	-1.861429
144	-1.860835
144	-1.860329
144	-1.85984
144	-1.859366
144	-1.85892
144	-1.858501
144	-1.858126
144	-1.857787
144	-1.857541
144	-1.85738
144	-1.857316
144	-1.857442
144	-1.857725
144	-1.858257
144	-1.858954
144	-1.85978
144	-1.860605
144	-1.861452
144	-1.862152
144	-1.862766
144	-1.863219
144	-1.863549
144	-1.86376
144	-1.863868
144	-1.863921
144	-1.863875
144	-1.863762
144	-1.86366
144	-1.86358
144	-1.863527
144	-1.863577
144	-1.863754
144	-1.864051
144	-1.864441
144	-1.864894
144	-1.865276
144	-1.865526
144	-1.865597
144	-1.865568
144	-1.865406
144	-1.865236
144	-1.865033
144	-1.864864
144	-1.864723
144	-1.864641
144	-1.864571
144	-1.864577
144	-1.864553
144	-1.864504
144	-1.864387
144	-1.864117
144	-1.863725
144	-1.863221
144	-1.862686
144	-1.862133
144	-1.861616
144	-1.861188
144	-1.860844
144	-1.860607
144	-1.86044
144	-1.86037
144	-1.860321
144	-1.860306
144	-1.860292
144	-1.86031
144	-1.86034
144	-1.860382
144	-1.860483
144	-1.860704
144	-1.861041
144	-1.861571
144	-1.862197
144	-1.862826
144	-1.863424
144	-1.863993
144	-1.864472
144	-1.864891
144	-1.865228
144	-1.865531
144	-1.865798
144	-1.866069
144	-1.866259
144	-1.866447
144	-1.866624
144	-1.866787
144	-1.86696
144	-1.867116
144	-1.867279
144	-1.867387
144	-1.8674
144	-1.86727
144	-1.866963
144	-1.866512
144	-1.865919
144	-1.865233
144	-1.864529
144	-1.863775
144	-1.863047
144	-1.862321
144	-1.861622
144	-1.860945
144	-1.860314
144	-1.85976
144	-1.859223
144	-1.858739
144	-1.858293
144	-1.857891
144	-1.857531
144	-1.857263
144	-1.857033
144	-1.856942
144	-1.856961
144	-1.857136
144	-1.85753
144	-1.858157
144	-1.858936
144	-1.859818
144	-1.86069
144	-1.861484
144	-1.862116
144	-1.862632
144	-1.862985
144	-1.863212
144	-1.863342
144	-1.86336
144	-1.863291
144	-1.863203
144	-1.863055
144	-1.862936
144	-1.862832
144	-1.862795
144	-1.862899
144	-1.863126
144	-1.863481
144	-1.863954
144	-1.86445
144	-1.864853
144	-1.865155
144	-1.865332
144	-1.865393
144	-1.865403
144	-1.865372
144	-1.865358
144	-1.865359
144	-1.865412
144	-1.865484
144	-1.865606
144	-1.865738
144	-1.865835
144	-1.86587
144	-1.865814
144	-1.865624
144	-1.865276
144	-1.864784
144	-1.864205
144	-1.863581
144	-1.862995
144	-1.862435
144	-1.861954
144	-1.861538
144	-1.861144
144	-1.860777
144	-1.86045
144	-1.860128
144	-1.859796
144	-1.859475
144	-1.859174
144	-1.858882
144	-1.858678
144	-1.858551
144	-1.858554
144	-1.858698
144	-1.859096
144	-1.859628
144	-1.860305
144	-1.861052
