t	Voltage
433	-1.90798
433	-1.907681
433	-1.907438
433	-1.907189
433	-1.906979
433	-1.906787
433	-1.906627
433	-1.906453
433	-1.906322
433	-1.906194
433	-1.906104
433	-1.906014
433	-1.905931
433	-1.905891
433	-1.905826
433	-1.905754
433	-1.90569
433	-1.905676
433	-1.905719
433	-1.905841
433	-1.906042
433	-1.906274
433	-1.906537
433	-1.906774
433	-1.906977
433	-1.907146
433	-1.907293
433	-1.9074
433	-1.907477
433	-1.907534
433	-1.907569
433	-1.907593
433	-1.907589
433	-1.907584
433	-1.907556
433	-1.907518
433	-1.907547
433	-1.907579
433	-1.90766
433	-1.907763
433	-1.907889
433	-1.907978
433	-1.908043
433	-1.90808
433	-1.908061
433	-1.907996
433	-1.907922
433	-1.90784
433	-1.907727
433	-1.907629
433	-1.907568
433	-1.907504
433	-1.907431
433	-1.907394
433	-1.907349
433	-1.907283
433	-1.907191
433	-1.907064
433	-1.906905
433	-1.906754
433	-1.906593
433	-1.906458
433	-1.906357
433	-1.90625
433	-1.906226
433	-1.906186
433	-1.906206
433	-1.906239
433	-1.906281
433	-1.906377
433	-1.906437
433	-1.906537
433	-1.906636
433	-1.906761
433	-1.906908
433	-1.907054
433	-1.907243
433	-1.907418
433	-1.907562
433	-1.907695
433	-1.907803
433	-1.907872
433	-1.907938
433	-1.908012
433	-1.908038
433	-1.908103
433	-1.908175
433	-1.908235
433	-1.908275
433	-1.908346
433	-1.908402
433	-1.908449
433	-1.908463
433	-1.908425
433	-1.908354
433	-1.908213
433	-1.908035
433	-1.907831
433	-1.90761
433	-1.907406
433	-1.90719
433	-1.906989
433	-1.906772
433	-1.906598
433	-1.906415
433	-1.906235
433	-1.906093
433	-1.90596
433	-1.905803
433	-1.905683
433	-1.905564
433	-1.9055
433	-1.90543
433	-1.905382
433	-1.905382
433	-1.905429
433	-1.905536
433	-1.905696
433	-1.905902
433	-1.906158
433	-1.906411
433	-1.906656
433	-1.906865
433	-1.90702
433	-1.907141
433	-1.907243
433	-1.907302
433	-1.907301
433	-1.90731
433	-1.907277
433	-1.907249
433	-1.907202
433	-1.907179
433	-1.907173
433	-1.907202
433	-1.90727
433	-1.907363
433	-1.907516
433	-1.907635
433	-1.907754
433	-1.907862
433	-1.907909
433	-1.907905
433	-1.907884
433	-1.907844
433	-1.907801
433	-1.907816
433	-1.907799
433	-1.90781
433	-1.90781
433	-1.907829
433	-1.907833
433	-1.907861
433	-1.907825
433	-1.907773
433	-1.907638
433	-1.907483
433	-1.907309
433	-1.907141
433	-1.906985
433	-1.906833
433	-1.906701
433	-1.9066
433	-1.90654
