Field	X	Y
0	2.26312e-07	8.38195e-08
-5	-5.58796e-09	1.00583e-07
-10	-6.51929e-09	5.1223e-08
-15	-6.23991e-08	1.03377e-07
-20	-8.38196e-09	4.74977e-08
-25	-1.02446e-07	1.00583e-07
-30	-3.63218e-08	1.39699e-08
-35	-8.56821e-08	2.42145e-08
-40	-1.21073e-07	1.58326e-08
-45	-1.29455e-07	6.51929e-09
-50	-2.00235e-07	0.0
-55	5.08506e-07	4.8429e-08
-60	1.11853e-06	8.84761e-08
-65	5.65316e-07	2.70085e-08
-70	0.0	0.0
-75	-2.18862e-07	-2.79398e-09
-80	-2.56116e-07	-4.28411e-08
-85	-3.52973e-07	7.0781e-08
-90	-3.45522e-07	4.00471e-08
-95	-4.65663e-07	8.66135e-08
-100	-2.61703e-07	1.86266e-08
-105	-1.52738e-07	6.42617e-08
-110	-2.34694e-07	1.17347e-07
-115	-2.18862e-07	5.30856e-08
-120	-2.54253e-07	8.84761e-08
-125	-1.85334e-07	3.72531e-08
-130	-1.35974e-07	2.14205e-08
-135	-1.25729e-07	1.0524e-07
-140	-2.06755e-07	5.49483e-08
