Field	X	Y
0	-1.24798e-07	-5.68109e-08
-5	-8.10255e-08	0.0
-10	-1.22004e-07	7.63689e-08
-15	-1.38768e-07	1.09897e-07
-20	-1.40631e-07	-2.51458e-08
-25	-1.55532e-07	3.81845e-08
-30	-1.28523e-07	1.0524e-07
-35	-1.49944e-07	1.39699e-08
-40	-2.09548e-07	-1.21073e-08
-45	-1.64845e-07	-1.86266e-09
-50	-2.28175e-07	1.0524e-07
-55	3.62286e-07	2.98025e-08
-60	1.01329e-06	1.04309e-07
-65	6.47273e-07	2.51458e-08
-70	8.56821e-08	1.86266e-08
-75	-4.47037e-08	1.13622e-07
-80	-2.02098e-07	6.14677e-08
-85	-3.52973e-07	1.08034e-07
-90	-2.943e-07	2.51458e-08
-95	-3.14789e-07	1.86266e-09
-100	-3.35278e-07	9.31327e-08
-105	-2.59841e-07	1.22004e-07
-110	-2.56116e-07	4.37724e-08
-115	-2.8033e-07	7.73002e-08
-120	-1.46219e-07	5.1223e-08
-125	-2.84987e-07	8.56821e-08
-130	-2.28175e-07	1.09897e-07
-135	-2.42146e-07	7.45063e-08
-140	-2.48665e-07	7.45064e-09
