Field	X	Y
0	-1.56463e-07	2.5239e-07
-5	-2.44008e-07	2.14205e-08
-10	-2.57047e-07	-2.79398e-09
-15	-3.27827e-07	1.02446e-08
-20	-2.8033e-07	3.72532e-09
-25	-3.59492e-07	-4.28411e-08
-30	-2.6636e-07	-7.45064e-09
-35	-2.93368e-07	3.07339e-08
-40	-3.59492e-07	9.6858e-08
-45	-4.58213e-07	1.21073e-07
-50	-4.60075e-07	1.07103e-07
-55	4.65664e-08	-4.09784e-08
-60	6.46342e-07	2.04892e-08
-65	6.27715e-07	6.42617e-08
-70	3.60424e-07	2.88711e-08
-75	1.56463e-07	8.47508e-08
-80	9.4064e-08	2.04892e-08
-85	-1.81609e-07	1.00583e-07
-90	-2.65429e-07	1.1269e-07
-95	-2.5239e-07	1.01515e-07
-100	-2.4494e-07	8.28882e-08
-105	-1.78815e-07	3.72531e-08
-110	-1.4715e-07	2.79398e-09
-115	-2.28175e-07	9.6858e-08
-120	-1.8254e-07	7.91629e-08
-125	-2.32832e-07	4.37724e-08
-130	-1.71364e-07	1.14553e-07
-135	-1.80677e-07	9.4064e-08
-140	-2.30038e-07	1.58326e-08
