Field	X	Y
0	-2.82193e-07	1.09897e-07
-5	-1.34111e-07	3.35278e-08
-10	-1.22004e-07	-2.70085e-08
-15	-1.1269e-07	1.00583e-07
-20	-1.95579e-08	5.86735e-08
-25	-7.26436e-08	1.21073e-08
-30	-1.20142e-07	5.02916e-08
-35	-2.16068e-07	1.13622e-07
-40	-1.46219e-07	8.94074e-08
-45	-2.14205e-07	6.33304e-08
-50	-1.69502e-07	1.1269e-07
-55	4.0699e-07	1.11759e-07
-60	1.01422e-06	8.66135e-08
-65	6.21196e-07	1.08965e-07
-70	4.74977e-08	9.31328e-09
-75	-1.41562e-07	4.28411e-08
-80	-3.02682e-07	1.14553e-07
-85	-3.90226e-07	7.26436e-08
-90	-3.46454e-07	1.13622e-07
-95	-2.67291e-07	8.28882e-08
-100	-2.49596e-07	2.60771e-08
-105	-2.21656e-07	2.79398e-08
-110	-2.45871e-07	1.00583e-07
-115	-2.26312e-07	1.16416e-07
-120	-2.20724e-07	1.01515e-07
-125	-1.41562e-07	1.11759e-08
-130	-2.16068e-07	5.02916e-08
-135	-1.8254e-07	2.70085e-08
-140	-2.02098e-07	2.51458e-08
