Field	X	Y
0	-1.95579e-08	1.3318e-07
-5	-1.10828e-07	9.31328e-09
-10	-5.49483e-08	0.0
-15	-1.1269e-07	-1.95579e-08
-20	-9.03387e-08	1.11759e-08
-25	-8.19568e-08	1.15484e-07
-30	-2.42145e-08	1.22004e-07
-35	-9.12701e-08	1.1921e-07
-40	-6.14677e-08	1.23867e-07
-45	-2.06755e-07	1.23867e-07
-50	-2.43077e-07	2.70085e-08
-55	3.66943e-07	4.65664e-08
-60	9.70445e-07	7.35749e-08
-65	5.69042e-07	1.15484e-07
-70	3.25965e-08	1.1269e-07
-75	-1.67639e-07	1.58326e-08
-80	-2.16068e-07	-2.32832e-08
-85	-3.48316e-07	-3.35278e-08
-90	-3.36209e-07	8.47508e-08
-95	-2.69154e-07	9.31328e-09
-100	-2.96162e-07	1.67639e-08
-105	-1.49013e-07	7.45063e-08
-110	-1.37837e-07	7.17123e-08
-115	-2.22587e-07	1.40631e-07
-120	-2.46802e-07	1.1269e-07
-125	-2.8033e-07	2.23519e-08
-130	-2.57047e-07	1.86266e-09
-135	-1.64845e-07	0.0
-140	-1.74158e-07	7.73002e-08
