Field	X	Y
0	-1.02446e-08	4.65664e-09
-5	-8.94074e-08	1.02446e-07
-10	-6.89183e-08	8.38195e-08
-15	-1.09897e-07	-1.11759e-08
-20	-1.01515e-07	-2.60771e-08
-25	-6.70557e-08	8.94074e-08
-30	-5.21543e-08	1.13622e-07
-35	-1.15484e-07	6.70557e-08
-40	-1.23867e-07	9.49954e-08
-45	-1.43425e-07	1.21073e-08
-50	-1.79746e-07	-1.76952e-08
-55	4.54487e-07	-2.79398e-09
-60	1.06637e-06	0.0
-65	5.42033e-07	0.0
-70	-1.95579e-08	0.0
-75	-1.32249e-07	7.35749e-08
-80	-2.07686e-07	6.42617e-08
-85	-3.50179e-07	1.15484e-07
-90	-3.5111e-07	6.14677e-08
-95	-3.2969e-07	1.13622e-07
-100	-3.10132e-07	1.22935e-07
-105	-2.72879e-07	5.1223e-08
-110	-2.5239e-07	1.86266e-08
-115	-2.48665e-07	4.65664e-08
-120	-2.59841e-07	2.60771e-08
-125	-1.85334e-07	9.77893e-08
-130	-2.40283e-07	1.21073e-07
-135	-2.83124e-07	1.06171e-07
-140	-2.35626e-07	7.45063e-08
