Field	X	Y
0	-3.94883e-07	0.0
-5	-3.70668e-07	0.0
-10	-3.62286e-07	5.58796e-09
-15	-4.74976e-07	0.0
-20	-5.16888e-07	3.25965e-08
-25	-5.4669e-07	6.5193e-08
-30	-4.46105e-07	-2.88711e-08
-35	-5.07574e-07	-1.76952e-08
-40	-6.90114e-07	-1.76952e-08
-45	-8.22361e-07	-9.59267e-08
-50	-8.67065e-07	-2.70085e-08
-55	-4.47968e-07	-2.79398e-09
-60	1.76952e-07	1.76952e-08
-65	1.49944e-07	1.04309e-07
-70	2.2445e-07	1.22004e-07
-75	2.75673e-07	6.70557e-08
-80	3.22239e-07	1.04309e-07
-85	1.94647e-07	1.21073e-07
-90	1.28523e-07	2.42145e-08
-95	2.88711e-08	3.72532e-09
-100	6.5193e-08	1.02446e-07
-105	-3.35278e-08	4.09784e-08
-110	-7.45063e-08	2.04892e-08
-115	-1.64845e-07	-9.31328e-09
-120	-2.00235e-07	4.09784e-08
-125	-2.28175e-07	4.65664e-09
-130	-2.06755e-07	5.1223e-08
-135	-2.42146e-07	9.49954e-08
-140	-2.37488e-07	5.77422e-08
