Field	X	Y
0	-4.08852e-07	2.73811e-07
-5	-4.53556e-07	1.28523e-07
-10	-3.72531e-07	4.47037e-08
-15	-4.44243e-07	3.72532e-09
-20	-4.03264e-07	7.35749e-08
-25	-5.4669e-07	3.44592e-08
-30	-5.12231e-07	8.19568e-08
-35	-5.44827e-07	7.45064e-09
-40	-5.58797e-07	-7.45064e-09
-45	-6.65899e-07	1.39699e-08
-50	-7.74864e-07	2.79398e-08
-55	-2.56116e-07	4.65664e-08
-60	3.11064e-07	8.38195e-08
-65	6.5193e-08	2.70085e-08
-70	5.40169e-08	1.86266e-09
-75	1.03377e-07	1.11759e-08
-80	1.00583e-07	1.86266e-09
-85	1.93716e-07	-5.58796e-09
-90	8.00942e-08	4.37724e-08
-95	-6.05364e-08	8.94074e-08
-100	-1.11759e-08	1.39699e-08
-105	-9.3133e-10	2.98025e-08
-110	-1.86266e-09	1.11759e-07
-115	-1.08034e-07	4.37724e-08
-120	-1.64845e-07	3.72532e-09
-125	-2.02098e-07	0.0
-130	-1.71364e-07	2.79398e-08
-135	-2.1793e-07	1.11759e-07
-140	-1.52738e-07	2.32832e-08
