Field	X	Y
0	-1.92785e-07	6.61244e-08
-5	-3.55767e-07	-2.14205e-08
-10	-4.638e-07	-5.58796e-09
-15	-4.95467e-07	0.0
-20	-4.9733e-07	-7.17123e-08
-25	-4.9733e-07	-8.10255e-08
-30	-5.28064e-07	-8.94074e-08
-35	-5.69973e-07	-4.28411e-08
-40	-6.64037e-07	7.26436e-08
-45	-6.57517e-07	7.91629e-08
-50	-7.34817e-07	1.02446e-07
-55	-1.85334e-07	1.01515e-07
-60	2.71017e-07	1.30386e-08
-65	1.46219e-07	4.19097e-08
-70	1.59257e-07	9.31328e-09
-75	1.27592e-07	0.0
-80	1.23867e-07	-6.42617e-08
-85	2.13274e-07	3.44592e-08
-90	7.73002e-08	6.33304e-08
-95	-6.89183e-08	6.7987e-08
-100	-1.01515e-07	6.51929e-09
-105	-1.0524e-07	-7.54376e-08
-110	-8.47508e-08	-6.33304e-08
-115	-1.20142e-07	-5.02916e-08
-120	-1.06171e-07	-5.58796e-09
-125	-9.87206e-08	1.02446e-08
-130	-2.02098e-07	1.30386e-08
-135	-1.57394e-07	2.70085e-08
-140	-7.91629e-08	7.45064e-09
