Field	X	Y
0	-3.19445e-07	-1.11759e-08
-5	-1.42493e-07	9.12701e-08
-10	-7.54376e-08	1.21073e-08
-15	-1.1269e-07	-5.58796e-09
-20	-2.16999e-07	5.58796e-08
-25	-1.51806e-07	9.31328e-09
-30	-1.28523e-07	3.44592e-08
-35	-1.25729e-07	3.44592e-08
-40	-1.6112e-07	2.79398e-09
-45	-2.39352e-07	0.0
-50	-2.30038e-07	4.00471e-08
-55	4.38655e-07	2.88711e-08
-60	9.91866e-07	2.79398e-08
-65	5.05712e-07	1.0524e-07
-70	1.67639e-08	-5.68109e-08
-75	-1.93716e-07	-1.21073e-08
-80	-2.41214e-07	5.58796e-09
-85	-3.35278e-07	0.0
-90	-3.73462e-07	8.47508e-08
-95	-3.52042e-07	1.22004e-07
-100	-3.19445e-07	4.37724e-08
-105	-3.02682e-07	4.37724e-08
-110	-2.57978e-07	9.12701e-08
-115	-2.48665e-07	6.33304e-08
-120	-1.92785e-07	1.16416e-07
-125	-2.37488e-07	1.23867e-07
-130	-2.48665e-07	1.23867e-07
-135	-1.77884e-07	1.23867e-07
-140	-2.3842e-07	1.14553e-07
