Field	X	Y
0	-1.86266e-09	1.6857e-07
-5	-2.03961e-07	4.19097e-08
-10	-2.16068e-07	6.51929e-09
-15	-1.81609e-07	-1.58326e-08
-20	-1.00583e-07	6.05364e-08
-25	-1.02446e-07	6.70557e-08
-30	-1.20142e-07	6.51929e-09
-35	-1.24798e-07	-4.19097e-08
-40	-2.16999e-07	-5.58796e-09
-45	-2.02098e-07	1.86266e-09
-50	-2.03961e-07	0.0
-55	3.27827e-07	-2.79398e-09
-60	1.0077e-06	0.0
-65	6.11883e-07	0.0
-70	6.14677e-08	1.86266e-08
-75	-3.81845e-08	2.79398e-09
-80	-1.88128e-07	0.0
-85	-3.39935e-07	8.38196e-09
-90	-4.0699e-07	8.00942e-08
-95	-3.77187e-07	1.86266e-09
-100	-3.56698e-07	9.3133e-10
-105	-2.04892e-07	0.0
-110	-2.34694e-07	3.35278e-08
-115	-2.73811e-07	8.66135e-08
-120	-1.71364e-07	1.1921e-07
-125	-1.99304e-07	8.28882e-08
-130	-2.11411e-07	9.31328e-09
-135	-2.39352e-07	5.58796e-09
-140	-1.80677e-07	8.47508e-08
