Field	X	Y
0	-1.59257e-07	-4.47037e-08
-5	-1.29455e-07	8.19568e-08
-10	-3.72531e-08	5.86735e-08
-15	-1.01515e-07	9.6858e-08
-20	-1.71364e-07	5.1223e-08
-25	-1.15484e-07	5.58796e-09
-30	-1.78815e-07	4.65664e-08
-35	-2.22587e-07	5.1223e-08
-40	-2.46802e-07	1.11759e-08
-45	-2.48665e-07	2.98025e-08
-50	-1.99304e-07	2.79398e-09
-55	3.41797e-07	0.0
-60	9.39708e-07	7.17123e-08
-65	5.10368e-07	1.18278e-07
-70	-1.95579e-08	1.23867e-07
-75	-1.92785e-07	1.48081e-07
-80	-2.58909e-07	1.546e-07
-85	-4.35861e-07	1.26661e-07
-90	-4.50762e-07	1.11759e-07
-95	-3.77187e-07	1.58326e-08
-100	-2.8778e-07	2.04892e-08
-105	-2.6636e-07	2.60771e-08
-110	-3.41797e-07	2.51458e-08
-115	-2.86849e-07	1.09897e-07
-120	-2.54253e-07	2.32832e-08
-125	-1.89991e-07	3.44592e-08
-130	-2.44008e-07	4.65664e-09
-135	-2.48665e-07	1.86266e-09
-140	-2.48665e-07	2.51458e-08
