Field	X	Y
0	-3.44592e-08	1.71364e-07
-5	-8.38196e-09	1.86266e-08
-10	-7.26436e-08	2.32832e-08
-15	-1.20142e-07	1.10828e-07
-20	-1.1269e-07	1.16416e-07
-25	-1.546e-07	9.12701e-08
-30	-1.72296e-07	-7.45064e-09
-35	-5.86735e-08	-1.21073e-08
-40	-1.4715e-07	3.63218e-08
-45	-2.04892e-07	9.49954e-08
-50	-1.79746e-07	7.17123e-08
-55	4.73114e-07	1.16416e-07
-60	1.09711e-06	8.10255e-08
-65	5.30858e-07	1.36905e-07
-70	-4.37724e-08	1.11759e-07
-75	-2.28175e-07	1.76952e-08
-80	-2.88712e-07	2.98025e-08
-85	-3.64149e-07	5.68109e-08
-90	-3.69737e-07	6.51929e-09
-95	-4.18166e-07	-4.65664e-09
-100	-2.82193e-07	-6.42617e-08
-105	-2.54253e-07	-8.84761e-08
-110	-2.48665e-07	-1.67639e-08
-115	-2.30038e-07	5.77422e-08
-120	-1.9651e-07	1.08034e-07
-125	-2.40283e-07	8.66135e-08
-130	-2.37488e-07	2.23519e-08
-135	-2.41214e-07	4.19097e-08
-140	-1.52738e-07	1.95579e-08
