Field	X	Y
0	-2.93368e-07	1.24798e-07
-5	-1.9651e-07	1.26661e-07
-10	-1.92785e-07	1.02446e-07
-15	-1.45287e-07	4.65664e-09
-20	-1.13622e-07	1.76952e-08
-25	-1.24798e-07	5.77422e-08
-30	-1.89991e-07	8.38196e-09
-35	-2.22587e-07	1.95579e-08
-40	-2.46802e-07	3.07339e-08
-45	-3.42729e-07	4.37724e-08
-50	-3.4366e-07	1.58326e-08
-55	3.63218e-07	9.3133e-10
-60	9.51815e-07	-1.21073e-08
-65	5.4669e-07	-1.86266e-09
-70	8.47508e-08	0.0
-75	-1.65776e-07	0.0
-80	-3.30621e-07	4.09784e-08
-85	-3.18514e-07	2.14205e-08
-90	-3.60424e-07	1.86266e-09
-95	-2.8033e-07	1.39699e-08
-100	-3.11995e-07	-8.75448e-08
-105	-3.54836e-07	-4.65664e-09
-110	-2.71017e-07	7.82316e-08
-115	-2.76605e-07	1.11759e-08
-120	-2.98025e-07	1.02446e-07
-125	-1.7509e-07	4.37724e-08
-130	-1.38768e-07	8.19568e-08
-135	-2.29106e-07	7.0781e-08
-140	-2.71948e-07	7.45064e-09
