Field	X	Y
0	-3.66943e-07	9.59267e-08
-5	-3.94883e-07	6.51929e-09
-10	-4.30273e-07	0.0
-15	-3.83707e-07	0.0
-20	-4.78703e-07	6.42617e-08
-25	-5.08506e-07	8.38196e-09
-30	-5.77424e-07	-1.58326e-08
-35	-4.74045e-07	1.02446e-08
-40	-5.48553e-07	5.77422e-08
-45	-7.76727e-07	1.16416e-07
-50	-8.61477e-07	3.53905e-08
-55	-5.16888e-07	2.79398e-09
-60	-1.95579e-08	5.1223e-08
-65	9.77893e-08	1.11759e-07
-70	2.09548e-07	8.66135e-08
-75	2.41214e-07	2.79398e-08
-80	2.47734e-07	8.66135e-08
-85	1.81609e-07	1.13622e-07
-90	1.29455e-07	6.05364e-08
-95	2.79398e-08	5.58796e-09
-100	-4.37724e-08	6.33304e-08
-105	-1.15484e-07	2.79398e-08
-110	-1.56463e-07	2.04892e-08
-115	-1.4715e-07	1.10828e-07
-120	-1.48081e-07	2.79398e-08
-125	-2.1793e-07	1.86266e-09
-130	-1.08965e-07	4.65664e-09
-135	-1.25729e-07	-4.5635e-08
-140	-1.24798e-07	4.37724e-08
