Field	X	Y
0	-4.47968e-07	-8.28882e-08
-5	-4.67526e-07	-2.14205e-08
-10	-4.34929e-07	-4.65664e-09
-15	-4.81497e-07	-2.79398e-09
-20	-5.24338e-07	-4.37724e-08
-25	-4.73114e-07	-5.58796e-09
-30	-5.64385e-07	1.49013e-08
-35	-6.01638e-07	1.07103e-07
-40	-7.0874e-07	9.31328e-09
-45	-8.19568e-07	3.07339e-08
-50	-8.66134e-07	8.19568e-08
-55	-3.34347e-07	1.67639e-08
-60	1.50875e-07	3.72532e-09
-65	2.6636e-07	9.3133e-10
-70	4.01402e-07	3.25965e-08
-75	2.8033e-07	-2.79398e-09
-80	2.89643e-07	6.51929e-09
-85	2.27244e-07	5.68109e-08
-90	1.35974e-07	1.14553e-07
-95	1.02446e-07	1.95579e-08
-100	-4.5635e-08	4.93603e-08
-105	-4.28411e-08	5.58796e-09
-110	-1.13622e-07	9.03387e-08
-115	-1.76021e-07	1.95579e-08
-120	-5.68109e-08	3.72532e-09
-125	-1.45287e-07	1.86266e-09
-130	-2.16999e-07	1.03377e-07
-135	-1.48081e-07	5.02916e-08
-140	-1.10828e-07	-2.42145e-08
