Field	X	Y
0	-7.54376e-08	1.11759e-07
-5	-2.36557e-07	2.04892e-08
-10	-2.48665e-07	3.07339e-08
-15	-1.52738e-07	1.86266e-08
-20	-1.26661e-07	6.42617e-08
-25	-1.81609e-07	2.70085e-08
-30	-1.46219e-07	2.04892e-08
-35	-1.98373e-07	1.49013e-08
-40	-2.70085e-07	1.02446e-08
-45	-3.25033e-07	4.5635e-08
-50	-3.27827e-07	1.01515e-07
-55	2.84987e-07	5.30856e-08
-60	8.88485e-07	8.75448e-08
-65	4.23754e-07	4.19097e-08
-70	3.91158e-08	2.51458e-08
-75	-1.08034e-07	4.65664e-08
-80	-1.60188e-07	8.19568e-08
-85	-2.6636e-07	1.49013e-08
-90	-3.03613e-07	4.65664e-09
-95	-2.59841e-07	1.86266e-08
-100	-2.58909e-07	8.47508e-08
-105	-2.60772e-07	1.11759e-08
-110	-2.49596e-07	8.66135e-08
-115	-2.19793e-07	5.02916e-08
-120	-1.46219e-07	2.79398e-08
-125	-2.07686e-07	5.30856e-08
-130	-1.81609e-07	5.58796e-09
-135	-2.36557e-07	6.7987e-08
-140	-2.42146e-07	6.89183e-08
