Field	X	Y
0	-1.90922e-07	-1.92785e-07
-5	-4.29342e-07	-1.58326e-08
-10	-4.53556e-07	9.77893e-08
-15	-5.36445e-07	-8.00942e-08
-20	-5.42033e-07	-7.0781e-08
-25	-5.03849e-07	9.03387e-08
-30	-5.35514e-07	4.37724e-08
-35	-6.15608e-07	6.5193e-08
-40	-7.21779e-07	4.47037e-08
-45	-8.354e-07	1.02446e-08
-50	-9.41571e-07	6.05364e-08
-55	-5.00124e-07	1.58326e-08
-60	1.41562e-07	1.03377e-07
-65	2.33763e-07	8.19568e-08
-70	2.81261e-07	9.31328e-09
-75	1.63914e-07	0.0
-80	2.45871e-07	2.51458e-08
-85	2.59841e-07	0.0
-90	1.39699e-07	-1.67639e-08
-95	7.0781e-08	-9.3133e-10
-100	-9.22014e-08	-6.61244e-08
-105	-1.22004e-07	-9.31328e-09
-110	-1.69502e-07	0.0
-115	-1.95579e-07	8.00942e-08
-120	-1.20142e-07	3.63218e-08
-125	-1.22004e-07	1.58326e-08
-130	-1.6857e-07	9.3133e-10
-135	-1.40631e-07	2.60771e-08
-140	-2.09548e-07	5.58796e-09
