Field	X	Y
0	-9.9652e-08	1.93716e-07
-5	-2.09548e-07	1.58326e-08
-10	-1.49944e-07	0.0
-15	-1.37837e-07	2.32832e-08
-20	-1.69502e-07	4.00471e-08
-25	-7.35749e-08	2.04892e-08
-30	-3.63218e-08	4.37724e-08
-35	-1.20142e-07	1.95579e-08
-40	-2.19793e-07	2.79398e-08
-45	-2.03029e-07	1.1921e-07
-50	-1.88128e-07	9.6858e-08
-55	3.24102e-07	1.11759e-08
-60	9.30395e-07	6.51929e-09
-65	6.46342e-07	7.45063e-08
-70	3.53905e-08	3.72532e-09
-75	-4.28411e-08	1.95579e-08
-80	-9.22014e-08	3.91158e-08
-85	-3.99539e-07	1.02446e-07
-90	-3.64149e-07	5.77422e-08
-95	-3.31553e-07	3.72532e-09
-100	-3.6508e-07	-7.45064e-09
-105	-2.70085e-07	-1.58326e-08
-110	-1.98373e-07	-1.49013e-08
-115	-1.40631e-07	-1.67639e-08
-120	-2.32832e-07	4.65664e-09
-125	-2.34694e-07	4.28411e-08
-130	-1.67639e-07	4.74977e-08
-135	-8.75448e-08	2.98025e-08
-140	-1.1269e-07	8.38195e-08
