Field	X	Y
0	-2.60771e-08	-1.46219e-07
-5	-2.13274e-07	0.0
-10	-2.46802e-07	0.0
-15	-1.57394e-07	0.0
-20	-2.13274e-07	2.79398e-09
-25	-2.34694e-07	7.0781e-08
-30	-2.93368e-07	9.77893e-08
-35	-3.49248e-07	1.30386e-08
-40	-2.78467e-07	-4.47037e-08
-45	-4.37723e-07	-1.30386e-08
-50	-4.87085e-07	5.86735e-08
-55	1.37837e-07	1.15484e-07
-60	8.20499e-07	3.07339e-08
-65	3.28759e-07	2.51458e-08
-70	-1.23867e-07	6.51929e-09
-75	-1.76021e-07	1.11759e-08
-80	-4.8429e-08	1.86266e-09
-85	-1.62982e-07	0.0
-90	-1.69502e-07	9.77893e-08
-95	-1.1269e-07	1.1921e-07
-100	-1.22935e-07	8.19568e-08
-105	-2.01167e-07	1.03377e-07
-110	-1.37837e-07	4.93603e-08
-115	-1.25729e-07	2.79398e-08
-120	-2.18862e-07	1.39699e-07
-125	-2.20724e-07	9.03387e-08
-130	-1.39699e-07	3.25965e-08
-135	-1.81609e-07	1.86266e-09
-140	-1.69502e-07	5.1223e-08
