Field	X	Y
0	-3.00819e-07	2.32832e-08
-5	-3.36209e-07	1.46219e-07
-10	-3.04544e-07	5.77422e-08
-15	-3.24102e-07	2.14205e-08
-20	-3.68806e-07	6.05364e-08
-25	-3.73462e-07	3.44592e-08
-30	-4.48899e-07	9.31327e-08
-35	-4.92673e-07	8.66135e-08
-40	-4.69388e-07	3.91158e-08
-45	-5.86737e-07	1.11759e-08
-50	-5.90462e-07	-3.81845e-08
-55	-1.03377e-07	-5.58796e-09
-60	4.98261e-07	-7.91629e-08
-65	1.73227e-07	-6.33304e-08
-70	-9.03387e-08	1.21073e-08
-75	-2.32832e-08	2.23519e-08
-80	6.98496e-08	3.72532e-09
-85	1.11759e-07	3.63218e-08
-90	1.30386e-08	6.89183e-08
-95	-1.49013e-08	4.19097e-08
-100	-7.0781e-08	5.58796e-08
-105	-1.52738e-07	5.58796e-09
-110	-1.29455e-07	2.14205e-08
-115	-1.95579e-07	5.30856e-08
-120	-2.09548e-07	3.91158e-08
-125	-1.59257e-07	1.21073e-08
-130	-2.08617e-07	1.86266e-09
-135	-1.60188e-07	8.28882e-08
-140	-1.36905e-07	5.1223e-08
