t	Voltage
56	2.702976
56	2.956694
56	3.217657
56	3.478813
56	3.731468
56	3.972164
56	4.191396
56	4.386734
56	4.558239
56	4.701581
56	4.810939
56	4.887548
56	4.932172
56	4.942013
56	4.917892
56	4.855989
56	4.762839
56	4.642466
56	4.490193
56	4.315234
56	4.1141
56	3.894723
56	3.657654
56	3.400287
56	3.141404
56	2.874003
56	2.606837
56	2.343408
56	2.095895
56	1.904138
56	1.869779
56	1.864585
56	1.859708
56	1.855247
56	1.851329
56	1.848179
56	1.845977
56	1.844839
56	1.844899
56	1.8461
56	1.848396
56	1.851589
56	1.855585
56	1.86009
56	1.865023
56	1.870194
56	1.875494
56	1.882057
56	1.984389
56	2.235268
56	2.516991
56	2.807204
56	3.101927
56	3.386627
56	3.65609
56	3.907537
56	4.147069
56	4.34964
56	4.524377
56	4.669909
56	4.782913
56	4.865963
56	4.912654
56	4.92213
56	4.899371
56	4.840676
56	4.753112
56	4.63306
56	4.484979
56	4.308469
56	4.104003
56	3.886937
56	3.649489
56	3.398037
56	3.136768
56	2.86324
56	2.598824
56	2.337994
56	2.091067
56	1.901724
56	1.869721
56	1.864546
56	1.859683
56	1.855193
56	1.851297
56	1.848159
56	1.845932
56	1.844825
56	1.844862
56	1.846061
56	1.848364
56	1.851596
56	1.855561
56	1.860091
56	1.865008
56	1.870177
56	1.875493
56	1.88173
56	1.978272
56	2.236392
56	2.515569
56	2.805292
56	3.096664
56	3.380877
56	3.656353
56	3.907529
56	4.139555
56	4.342971
56	4.521997
56	4.669546
56	4.784104
56	4.866458
56	4.913786
56	4.922935
56	4.900612
56	4.842506
56	4.752154
56	4.632807
56	4.483563
56	4.308004
56	4.107959
56	3.88808
56	3.645544
56	3.396998
56	3.135288
56	2.86832
56	2.599646
56	2.333219
56	2.086129
56	1.899685
56	1.86969
56	1.864525
56	1.859651
56	1.855174
56	1.85127
56	1.848142
56	1.84592
56	1.844781
56	1.844828
56	1.846048
56	1.848345
56	1.851566
56	1.855538
56	1.860053
56	1.86498
56	1.870145
56	1.875459
56	1.881628
56	1.976308
56	2.230856
56	2.51397
56	2.803937
56	3.094285
56	3.385212
56	3.653325
56	3.905264
56	4.138178
56	4.344081
56	4.524245
56	4.673079
56	4.788013
56	4.868374
56	4.915168
56	4.92376
56	4.899644
56	4.842791
56	4.753802
56	4.631712
56	4.483614
56	4.307532
56	4.107025
56	3.888007
56	3.642977
56	3.394855
56	3.134631
56	2.86762
56	2.599321
56	2.330165
56	2.087265
56	1.900085
56	1.869715
56	1.86453
56	1.859674
56	1.855213
56	1.851291
56	1.848163
56	1.84594
56	1.844822
56	1.844857
56	1.846057
56	1.848365
56	1.851565
56	1.855563
56	1.860073
56	1.865013
56	1.87018
56	1.875482
56	1.881756
56	1.97888
56	2.229217
56	2.51106
56	2.806605
56	3.096869
56	3.380694
56	3.652859
56	3.91239
56	4.141284
56	4.347055
56	4.525457
56	4.672005
56	4.787769
56	4.86686
56	4.911538
56	4.92309
56	4.900814
56	4.845642
56	4.757689
56	4.636225
56	4.486217
56	4.309581
56	4.110438
56	3.891594
56	3.653323
56	3.395879
56	3.135704
56	2.869014
56	2.600227
56	2.337249
56	2.086716
56	1.899987
56	1.86972
56	1.864544
56	1.859675
56	1.855222
56	1.851283
56	1.848159
56	1.845931
56	1.844813
56	1.844861
56	1.846042
56	1.848359
56	1.85158
56	1.855553
56	1.860078
