Field	X	Y
0	3.07339e-08	1.02446e-07
-5	-6.70557e-08	8.00942e-08
-10	-1.70433e-07	1.30386e-08
-15	-9.87206e-08	9.3133e-10
-20	-1.49013e-08	8.84761e-08
-25	-1.01515e-07	7.0781e-08
-30	-1.15484e-07	7.73002e-08
-35	-4.19097e-08	9.87206e-08
-40	-7.82316e-08	4.65664e-08
-45	-1.62982e-07	7.45064e-09
-50	-1.95579e-07	-1.86266e-09
-55	4.57281e-07	7.63689e-08
-60	1.01981e-06	8.84761e-08
-65	5.13162e-07	1.02446e-08
-70	-1.67639e-08	3.72532e-09
-75	-1.03377e-07	3.25965e-08
-80	-1.38768e-07	-4.00471e-08
-85	-3.10132e-07	5.30856e-08
-90	-4.18166e-07	9.31328e-09
-95	-3.20377e-07	4.09784e-08
-100	-3.09201e-07	1.14553e-07
-105	-2.57047e-07	4.65664e-08
-110	-2.68223e-07	1.39699e-08
-115	-2.54253e-07	-1.02446e-08
-120	-2.54253e-07	-1.76952e-08
-125	-2.82193e-07	7.73002e-08
-130	-2.71948e-07	-4.74977e-08
-135	-2.57047e-07	3.53905e-08
-140	-2.45871e-07	9.31328e-09
