Field	X	Y
0	-1.00583e-07	-8.00942e-08
-5	-1.44356e-07	-6.42617e-08
-10	-1.27592e-07	-2.70085e-08
-15	-1.40631e-07	6.51929e-09
-20	-1.27592e-07	9.49954e-08
-25	-1.6112e-07	6.05364e-08
-30	-1.34111e-07	1.14553e-07
-35	-1.25729e-07	6.7987e-08
-40	-1.89991e-07	6.51929e-09
-45	-3.32484e-07	-1.49013e-08
-50	-2.96162e-07	-3.72532e-09
-55	2.15136e-07	2.79398e-09
-60	8.45645e-07	4.8429e-08
-65	4.20028e-07	7.45063e-08
-70	-6.89183e-08	9.31328e-09
-75	-1.8254e-07	0.0
-80	-1.87197e-07	0.0
-85	-2.89643e-07	7.91629e-08
-90	-2.93368e-07	9.6858e-08
-95	-2.04892e-07	1.02446e-08
-100	-2.12342e-07	2.42145e-08
-105	-1.57394e-07	1.04309e-07
-110	-2.11411e-07	5.40169e-08
-115	-2.42146e-07	-3.07339e-08
-120	-2.47734e-07	3.72532e-09
-125	-2.03961e-07	1.02446e-08
-130	-2.32832e-07	-1.02446e-08
-135	-2.47734e-07	9.03387e-08
-140	-2.48665e-07	1.95579e-08
