Field	X	Y
0	-6.70557e-08	1.32249e-07
-5	-4.44243e-07	2.51458e-08
-10	-5.44827e-07	1.02446e-07
-15	-5.09437e-07	9.22014e-08
-20	-6.00707e-07	1.11759e-08
-25	-6.13745e-07	5.96051e-08
-30	-5.51347e-07	7.45064e-09
-35	-6.5938e-07	8.38196e-09
-40	-6.7335e-07	0.0
-45	-7.60894e-07	5.1223e-08
-50	-9.16425e-07	3.63218e-08
-55	-4.1444e-07	2.79398e-09
-60	2.69154e-07	0.0
-65	2.62635e-07	0.0
-70	2.71017e-07	1.28523e-07
-75	2.67291e-07	1.11759e-07
-80	2.03029e-07	9.59267e-08
-85	2.43077e-07	6.33304e-08
-90	2.27244e-07	-3.44592e-08
-95	4.65664e-08	5.58796e-08
-100	3.72532e-09	3.07339e-08
-105	-9.22014e-08	4.65664e-09
-110	-1.60188e-07	9.4064e-08
-115	-1.29455e-07	1.18278e-07
-120	-1.22004e-07	2.32832e-08
-125	-9.4064e-08	3.91158e-08
-130	-1.22004e-07	4.65664e-09
-135	-1.24798e-07	0.0
-140	-1.69502e-07	5.86735e-08
