Field	X	Y
0	-2.72879e-07	0.0
-5	-4.73114e-07	-2.79398e-09
-10	-4.95467e-07	8.38195e-08
-15	-4.64732e-07	-3.53905e-08
-20	-4.8336e-07	-6.42617e-08
-25	-5.48553e-07	2.23519e-08
-30	-5.12231e-07	5.58796e-09
-35	-5.94187e-07	0.0
-40	-6.60311e-07	0.0
-45	-7.69276e-07	2.98025e-08
-50	-9.36914e-07	4.8429e-08
-55	-5.113e-07	4.65664e-09
-60	1.14553e-07	-6.51929e-09
-65	1.70433e-07	-9.3133e-10
-70	3.02682e-07	0.0
-75	2.57978e-07	3.44592e-08
-80	2.27244e-07	1.34111e-07
-85	2.4494e-07	1.42493e-07
-90	1.34111e-07	6.7987e-08
-95	5.58796e-09	3.72531e-08
-100	-9.6858e-08	2.79398e-09
-105	-1.20142e-07	0.0
-110	-4.93603e-08	2.51458e-08
-115	-1.09897e-07	1.86266e-09
-120	-1.97441e-07	0.0
-125	-1.62051e-07	0.0
-130	-1.24798e-07	1.86266e-09
-135	-9.9652e-08	0.0
-140	-1.22004e-07	0.0
