Field	X	Y
0	-2.82193e-07	7.26436e-08
-5	-4.35861e-07	6.51929e-09
-10	-5.28064e-07	8.47508e-08
-15	-5.24338e-07	2.04892e-08
-20	-6.04432e-07	-3.53905e-08
-25	-5.85806e-07	6.89183e-08
-30	-6.03501e-07	-2.32832e-08
-35	-6.20264e-07	1.10828e-07
-40	-7.18985e-07	8.84761e-08
-45	-8.27018e-07	9.31328e-09
-50	-8.46576e-07	-8.47508e-08
-55	-4.44243e-07	-5.86735e-08
-60	5.1223e-08	-6.23991e-08
-65	1.58326e-07	-1.30386e-08
-70	2.3842e-07	9.31328e-09
-75	3.04544e-07	8.66135e-08
-80	2.50528e-07	1.14553e-07
-85	1.92785e-07	1.0524e-07
-90	1.52738e-07	1.39699e-08
-95	2.79398e-08	0.0
-100	-1.95579e-08	2.70085e-08
-105	-1.18278e-07	2.04892e-08
-110	-1.83471e-07	1.86266e-09
-115	-1.34111e-07	9.3133e-10
-120	-1.25729e-07	9.59267e-08
-125	-1.25729e-07	1.21073e-07
-130	-1.24798e-07	4.19097e-08
-135	-1.36905e-07	3.44592e-08
-140	-1.28523e-07	7.73002e-08
