Field	X	Y
0	1.58326e-08	-4.47037e-08
-5	-3.44592e-08	-2.79398e-09
-10	-9.87206e-08	0.0
-15	-1.43425e-07	8.38196e-09
-20	-4.74977e-08	1.86266e-09
-25	-1.14553e-07	0.0
-30	-1.58326e-07	0.0
-35	-1.10828e-07	0.0
-40	-1.76021e-07	0.0
-45	-2.69154e-07	3.72532e-09
-50	-1.77884e-07	0.0
-55	3.77187e-07	6.98496e-08
-60	1.03378e-06	3.72531e-08
-65	5.77424e-07	6.70557e-08
-70	1.76952e-08	7.91629e-08
-75	-1.85334e-07	8.94074e-08
-80	-2.09548e-07	4.5635e-08
-85	-3.60424e-07	9.03387e-08
-90	-3.64149e-07	1.31317e-07
-95	-3.48316e-07	1.64845e-07
-100	-3.59492e-07	1.28523e-07
-105	-2.65429e-07	4.19097e-08
-110	-2.49596e-07	7.73002e-08
-115	-2.16068e-07	3.25965e-08
-120	-1.46219e-07	1.07103e-07
-125	-2.32832e-07	8.19568e-08
-130	-2.2445e-07	9.77893e-08
-135	-2.23518e-07	4.93603e-08
-140	-2.46802e-07	5.1223e-08
