Field	X	Y
0	-2.97094e-07	2.32832e-08
-5	-4.8336e-07	-8.94074e-08
-10	-4.96399e-07	-2.04892e-08
-15	-4.57281e-07	-7.45064e-09
-20	-5.44827e-07	9.31327e-08
-25	-5.62522e-07	6.98496e-08
-30	-6.72419e-07	7.45064e-09
-35	-6.54723e-07	5.58796e-09
-40	-6.67762e-07	5.1223e-08
-45	-8.12117e-07	5.58796e-09
-50	-8.65202e-07	2.04892e-08
-55	-4.29342e-07	1.86266e-09
-60	8.38195e-08	6.70557e-08
-65	1.84403e-07	1.11759e-08
-70	2.41214e-07	1.02446e-08
-75	2.42146e-07	-7.45064e-09
-80	2.78467e-07	0.0
-85	2.57047e-07	1.09897e-07
-90	1.3318e-07	9.12701e-08
-95	1.39699e-08	2.14205e-08
-100	-1.86266e-09	1.86266e-09
-105	-4.65664e-09	6.42617e-08
-110	-1.03377e-07	7.45063e-08
-115	-1.40631e-07	4.19097e-08
-120	-1.27592e-07	9.31328e-09
-125	-1.97441e-07	4.65664e-09
-130	-1.65776e-07	0.0
-135	-1.21073e-07	-1.76952e-08
-140	-2.1048e-07	-1.02446e-08
