Field	X	Y
0	-1.9651e-07	1.02446e-08
-5	-1.16416e-07	4.37724e-08
-10	-1.02446e-07	8.75448e-08
-15	-1.27592e-07	1.21073e-08
-20	-1.36905e-07	4.5635e-08
-25	-5.1223e-08	8.94074e-08
-30	-8.56821e-08	9.6858e-08
-35	-1.22935e-07	1.13622e-07
-40	-2.1048e-07	1.27592e-07
-45	-2.47734e-07	3.81845e-08
-50	-2.5239e-07	1.0524e-07
-55	3.87432e-07	1.43425e-07
-60	9.25738e-07	1.4715e-07
-65	5.34583e-07	1.26661e-07
-70	9.59267e-08	1.02446e-08
-75	-1.74158e-07	-7.82316e-08
-80	-2.39352e-07	5.58796e-08
-85	-4.30273e-07	3.25965e-08
-90	-4.27479e-07	2.79398e-09
-95	-3.45522e-07	0.0
-100	-2.65429e-07	0.0
-105	-2.49596e-07	1.40631e-07
-110	-2.28175e-07	7.35749e-08
-115	-2.45871e-07	6.05364e-08
-120	-2.39352e-07	1.14553e-07
-125	-2.42146e-07	0.0
-130	-2.65429e-07	-4.00471e-08
-135	-1.62051e-07	-4.65664e-09
-140	-1.69502e-07	5.58796e-08
