Field	X	Y
0	-1.78815e-07	-2.08617e-07
-5	-2.16999e-07	2.51458e-08
-10	-1.90922e-07	2.79398e-08
-15	-1.38768e-07	1.21073e-08
-20	-1.26661e-07	2.42145e-08
-25	-2.37488e-07	5.77422e-08
-30	-2.48665e-07	8.38195e-08
-35	-3.26896e-07	6.51929e-09
-40	-2.82193e-07	0.0
-45	-3.07338e-07	3.72531e-08
-50	-3.17583e-07	-2.79398e-09
-55	1.23867e-07	3.72531e-08
-60	8.69859e-07	1.14553e-07
-65	6.44479e-07	3.63218e-08
-70	1.40631e-07	7.45064e-09
-75	4.28411e-08	1.95579e-08
-80	-1.55532e-07	-1.86266e-08
-85	-3.49248e-07	8.10255e-08
-90	-3.38072e-07	1.22004e-07
-95	-2.96162e-07	4.8429e-08
-100	-1.98373e-07	1.58326e-08
-105	-2.06755e-07	4.37724e-08
-110	-2.19793e-07	4.5635e-08
-115	-1.52738e-07	2.79398e-09
-120	-2.84055e-07	-8.19568e-08
-125	-2.18862e-07	-1.30386e-08
-130	-1.40631e-07	1.39699e-08
-135	-2.18862e-07	1.67639e-08
-140	-1.78815e-07	7.45064e-09
