Field	X	Y
0	-4.25616e-07	-7.17123e-08
-5	-4.90811e-07	-8.38196e-09
-10	-4.15372e-07	1.58326e-08
-15	-4.64732e-07	-1.67639e-08
-20	-5.58797e-07	-2.14205e-08
-25	-5.05712e-07	-1.58326e-08
-30	-4.89879e-07	-9.3133e-10
-35	-5.89531e-07	5.1223e-08
-40	-6.64968e-07	6.51929e-09
-45	-8.24224e-07	-6.33304e-08
-50	-9.74171e-07	-8.38196e-09
-55	-4.73114e-07	6.05364e-08
-60	8.10255e-08	6.61244e-08
-65	1.36905e-07	1.04309e-07
-70	2.05823e-07	1.67639e-08
-75	2.19793e-07	-3.35278e-08
-80	2.4494e-07	3.72531e-08
-85	2.29106e-07	2.32832e-08
-90	1.70433e-07	4.65664e-09
-95	5.58796e-08	3.53905e-08
-100	-8.28882e-08	2.51458e-08
-105	-1.26661e-07	6.33304e-08
-110	-1.6857e-07	1.76952e-08
-115	-1.43425e-07	9.3133e-10
-120	-1.71364e-07	5.49483e-08
-125	-1.64845e-07	3.81845e-08
-130	-1.80677e-07	1.02446e-07
-135	-2.33763e-07	1.58326e-08
-140	-1.66708e-07	9.3133e-10
