Field	X	Y
0	-4.18166e-07	-1.71364e-07
-5	-4.81497e-07	-1.49013e-08
-10	-4.0699e-07	-9.3133e-10
-15	-4.8336e-07	-9.31328e-09
-20	-4.96399e-07	2.32832e-08
-25	-4.1444e-07	1.10828e-07
-30	-4.88017e-07	4.09784e-08
-35	-6.06295e-07	9.03387e-08
-40	-5.57866e-07	9.31328e-09
-45	-7.29229e-07	2.79398e-09
-50	-7.53444e-07	9.3133e-10
-55	-2.74742e-07	1.86266e-09
-60	2.35626e-07	0.0
-65	1.23867e-07	5.1223e-08
-70	1.60188e-07	6.51929e-09
-75	1.58326e-07	0.0
-80	2.11411e-07	3.53905e-08
-85	2.04892e-07	1.11759e-08
-90	1.86266e-08	-2.14205e-08
-95	-5.58796e-09	5.77422e-08
-100	-1.01515e-07	7.82316e-08
-105	-1.38768e-07	9.4064e-08
-110	-5.30856e-08	1.06171e-07
-115	-1.06171e-07	1.58326e-08
-120	-1.10828e-07	-1.30386e-08
-125	-1.22004e-07	-1.86266e-09
-130	-1.29455e-07	0.0
-135	-1.98373e-07	8.94074e-08
-140	-2.44008e-07	5.49483e-08
