Field	X	Y
0	-4.74977e-08	-1.67639e-08
-5	-2.35626e-07	-2.79398e-09
-10	-3.32484e-07	0.0
-15	-2.82193e-07	6.23991e-08
-20	-2.46802e-07	6.7987e-08
-25	-2.60772e-07	6.98496e-08
-30	-3.55767e-07	1.18278e-07
-35	-4.15372e-07	3.81845e-08
-40	-3.39935e-07	-5.02916e-08
-45	-4.58213e-07	1.00583e-07
-50	-5.26201e-07	2.88711e-08
-55	-9.22014e-08	1.86266e-09
-60	5.76492e-07	6.33304e-08
-65	5.69973e-07	0.0
-70	3.77187e-07	0.0
-75	2.07686e-07	2.32832e-08
-80	7.73002e-08	4.65664e-09
-85	-1.73227e-07	0.0
-90	-1.41562e-07	-2.32832e-08
-95	-1.76952e-07	-2.60771e-08
-100	-2.18862e-07	1.21073e-08
-105	-1.51806e-07	6.51929e-09
-110	-2.30969e-07	-7.82316e-08
-115	-2.16068e-07	1.86266e-09
-120	-2.40283e-07	0.0
-125	-2.3842e-07	-1.11759e-08
-130	-2.27244e-07	-3.72532e-09
-135	-1.49013e-07	-9.3133e-10
-140	-1.98373e-07	-2.88711e-08
