Field	X	Y
0	-9.49954e-08	2.16999e-07
-5	-2.54253e-07	1.76952e-08
-10	-2.62635e-07	9.3133e-10
-15	-2.74742e-07	6.98496e-08
-20	-3.30621e-07	4.19097e-08
-25	-3.07338e-07	1.11759e-08
-30	-4.08852e-07	0.0
-35	-3.92089e-07	3.16652e-08
-40	-4.32135e-07	1.58326e-08
-45	-5.84874e-07	5.30856e-08
-50	-6.64037e-07	3.35278e-08
-55	-1.4715e-07	2.79398e-09
-60	4.38655e-07	4.74977e-08
-65	4.91742e-07	1.15484e-07
-70	4.00471e-07	7.35749e-08
-75	2.02098e-07	4.5635e-08
-80	1.11759e-07	9.3133e-10
-85	-8.28882e-08	3.72531e-08
-90	-1.65776e-07	1.11759e-07
-95	-1.64845e-07	1.95579e-08
-100	-1.88128e-07	6.89183e-08
-105	-2.04892e-07	1.17347e-07
-110	-1.90922e-07	3.25965e-08
-115	-2.1793e-07	8.56821e-08
-120	-1.49944e-07	1.11759e-08
-125	-2.22587e-07	6.7987e-08
-130	-2.46802e-07	1.18278e-07
-135	-2.18862e-07	1.35974e-07
-140	-2.99888e-07	1.28523e-07
