Field	X	Y
0	-4.4238e-07	8.75448e-08
-5	-3.78119e-07	2.51458e-08
-10	-3.74393e-07	7.26436e-08
-15	-4.31204e-07	1.58326e-08
-20	-4.06058e-07	-2.14205e-08
-25	-4.58213e-07	-1.86266e-08
-30	-4.92673e-07	8.38195e-08
-35	-5.03849e-07	1.21073e-07
-40	-5.26201e-07	5.77422e-08
-45	-6.95702e-07	5.58796e-09
-50	-7.41336e-07	1.76952e-08
-55	-3.50179e-07	-7.45064e-09
-60	2.01167e-07	9.12701e-08
-65	3.14789e-07	3.44592e-08
-70	4.45174e-07	-3.72531e-08
-75	3.16651e-07	-2.88711e-08
-80	2.54253e-07	1.39699e-08
-85	1.57394e-07	7.45064e-09
-90	-1.02446e-08	0.0
-95	-1.86266e-08	1.1269e-07
-100	-1.01515e-07	9.12701e-08
-105	-8.94074e-08	1.67639e-08
-110	-1.21073e-07	3.72532e-09
-115	-1.24798e-07	0.0
-120	-1.24798e-07	9.87206e-08
-125	-1.76952e-07	8.75448e-08
-130	-1.3318e-07	1.02446e-07
-135	-1.1269e-07	1.21073e-07
-140	-1.83471e-07	7.26436e-08
