Field	X	Y
0	5.58796e-09	3.02682e-07
-5	-9.6858e-08	1.40631e-07
-10	-1.22004e-07	4.5635e-08
-15	-1.87197e-07	4.65664e-09
-20	-2.35626e-07	1.48081e-07
-25	-2.48665e-07	5.86735e-08
-30	-2.58909e-07	1.0524e-07
-35	-3.36209e-07	1.25729e-07
-40	-5.23407e-07	1.45287e-07
-45	-5.6811e-07	2.13274e-07
-50	-6.13745e-07	1.0524e-07
-55	-1.11759e-07	6.33304e-08
-60	6.70556e-07	3.72531e-08
-65	7.45062e-07	4.65664e-09
-70	4.77772e-07	0.0
-75	2.89643e-07	6.33304e-08
-80	-5.21543e-08	9.12701e-08
-85	-2.91506e-07	4.19097e-08
-90	-2.58909e-07	3.72532e-09
-95	-1.55532e-07	6.51929e-09
-100	-2.00235e-07	7.45064e-09
-105	-1.34111e-07	9.4064e-08
-110	-1.26661e-07	3.53905e-08
-115	-1.24798e-07	2.79398e-09
-120	-1.24798e-07	-9.3133e-10
-125	-1.95579e-07	3.91158e-08
-130	-1.36905e-07	4.8429e-08
-135	-1.56463e-07	1.00583e-07
-140	-1.71364e-07	1.49013e-08
