Field	X	Y
0	-8.56821e-08	4.65664e-08
-5	-2.28175e-07	-2.79398e-09
-10	-2.06755e-07	2.79398e-09
-15	-5.21543e-08	6.33304e-08
-20	-1.11759e-07	1.02446e-08
-25	-1.23867e-07	0.0
-30	-1.24798e-07	0.0
-35	-2.16999e-07	-5.58796e-09
-40	-2.45871e-07	2.51458e-08
-45	-2.42146e-07	1.00583e-07
-50	-3.0175e-07	2.79398e-08
-55	2.98025e-07	1.86266e-09
-60	9.09906e-07	-4.47037e-08
-65	3.83707e-07	5.1223e-08
-70	-5.86735e-08	-4.93603e-08
-75	-1.48081e-07	3.72532e-09
-80	-2.37488e-07	8.19568e-08
-85	-2.16068e-07	5.77422e-08
-90	-2.44008e-07	6.51929e-09
-95	-2.39352e-07	1.0524e-07
-100	-2.5239e-07	3.25965e-08
-105	-2.20724e-07	-3.81845e-08
-110	-1.90922e-07	-9.31328e-09
-115	-2.36557e-07	-2.14205e-08
-120	-1.95579e-07	1.02446e-08
-125	-1.8254e-07	9.3133e-10
-130	-1.62051e-07	0.0
-135	-2.20724e-07	8.84761e-08
-140	-2.46802e-07	4.37724e-08
