Field	X	Y
0	-3.35278e-08	1.35974e-07
-5	-1.41562e-07	6.51929e-09
-10	-1.17347e-07	1.08965e-07
-15	-4.8429e-08	6.05364e-08
-20	-1.06171e-07	6.7987e-08
-25	-2.42145e-08	3.53905e-08
-30	-1.24798e-07	2.79398e-09
-35	-1.39699e-07	6.23991e-08
-40	-1.69502e-07	1.11759e-08
-45	-1.90922e-07	2.14205e-08
-50	-1.71364e-07	9.49954e-08
-55	4.35861e-07	9.87206e-08
-60	1.04029e-06	7.26436e-08
-65	6.15608e-07	-1.39699e-08
-70	1.39699e-08	1.86266e-09
-75	-8.19568e-08	5.30856e-08
-80	-1.76021e-07	1.07103e-07
-85	-3.47385e-07	1.22004e-07
-90	-3.70668e-07	1.23867e-07
-95	-3.73462e-07	6.05364e-08
-100	-3.09201e-07	2.23519e-08
-105	-2.60772e-07	2.70085e-08
-110	-2.62635e-07	1.11759e-08
-115	-2.76605e-07	2.70085e-08
-120	-2.57978e-07	1.86266e-09
-125	-2.46802e-07	1.86266e-09
-130	-1.48081e-07	1.02446e-07
-135	-1.38768e-07	1.07103e-07
-140	-1.70433e-07	9.6858e-08
