Field	X	Y
0	-2.72879e-07	9.4064e-08
-5	-3.76256e-07	2.32832e-08
-10	-4.32135e-07	8.38196e-09
-15	-4.89879e-07	-4.28411e-08
-20	-4.79635e-07	-1.02446e-08
-25	-5.29926e-07	-9.3133e-10
-30	-5.77424e-07	6.5193e-08
-35	-6.14677e-07	1.58326e-08
-40	-5.98844e-07	4.8429e-08
-45	-6.53792e-07	5.1223e-08
-50	-8.26087e-07	4.09784e-08
-55	-2.67291e-07	9.31328e-09
-60	1.76952e-07	4.8429e-08
-65	-4.74977e-08	9.4064e-08
-70	1.02446e-07	1.39699e-08
-75	1.56463e-07	4.28411e-08
-80	1.35043e-07	1.14553e-07
-85	2.04892e-07	3.44592e-08
-90	1.39699e-07	9.12701e-08
-95	6.89183e-08	2.70085e-08
-100	-1.49013e-08	5.40169e-08
-105	-1.18278e-07	1.29455e-07
-110	-1.86265e-07	4.09784e-08
-115	-1.35043e-07	1.39699e-08
-120	-1.80677e-07	-2.42145e-08
-125	-2.41214e-07	-2.79398e-09
-130	-1.98373e-07	2.70085e-08
-135	-1.76952e-07	5.1223e-08
-140	-2.02098e-07	3.63218e-08
