Field	X	Y
0	-2.09548e-07	-1.22004e-07
-5	-3.94883e-07	4.8429e-08
-10	-4.88017e-07	1.67639e-08
-15	-4.93605e-07	7.35749e-08
-20	-4.9733e-07	1.86266e-08
-25	-4.47037e-07	5.02916e-08
-30	-5.44827e-07	1.16416e-07
-35	-6.02569e-07	9.4064e-08
-40	-7.21779e-07	1.11759e-08
-45	-8.53095e-07	6.98496e-08
-50	-9.77896e-07	1.11759e-07
-55	-5.3272e-07	2.51458e-08
-60	4.65664e-08	7.63689e-08
-65	2.07686e-07	4.93603e-08
-70	2.54253e-07	7.63689e-08
-75	2.84987e-07	3.81845e-08
-80	2.81261e-07	4.65664e-09
-85	2.99888e-07	4.65664e-08
-90	1.89059e-07	1.03377e-07
-95	7.45063e-08	1.18278e-07
-100	-2.14205e-08	5.77422e-08
-105	-5.02916e-08	7.73002e-08
-110	-1.15484e-07	1.58326e-08
-115	-2.16068e-07	1.21073e-08
-120	-1.49944e-07	4.00471e-08
-125	-2.23518e-07	3.72532e-09
-130	-2.46802e-07	8.94074e-08
-135	-3.0827e-07	1.02446e-07
-140	-2.20724e-07	1.39699e-08
