Field	X	Y
0	-2.3842e-07	4.8429e-08
-5	-4.40517e-07	8.28882e-08
-10	-5.41102e-07	4.65664e-08
-15	-4.92673e-07	1.01515e-07
-20	-4.15372e-07	3.25965e-08
-25	-4.95467e-07	-2.88711e-08
-30	-6.04432e-07	6.23991e-08
-35	-7.07809e-07	1.01515e-07
-40	-8.18636e-07	1.86266e-08
-45	-8.9873e-07	9.22014e-08
-50	-1.01422e-06	1.1269e-07
-55	-5.70904e-07	1.86266e-08
-60	1.24798e-07	2.60771e-08
-65	3.25965e-07	1.07103e-07
-70	4.99193e-07	1.16416e-07
-75	4.24685e-07	2.51458e-08
-80	3.31553e-07	1.95579e-08
-85	3.16651e-07	9.22014e-08
-90	2.47734e-07	2.98025e-08
-95	9.12701e-08	-8.94074e-08
-100	0.0	6.51929e-09
-105	-1.95579e-08	4.65664e-09
-110	-1.36905e-07	5.77422e-08
-115	-1.1921e-07	9.31328e-09
-120	-1.29455e-07	0.0
-125	-2.16068e-07	0.0
-130	-1.60188e-07	1.11759e-08
-135	-1.57394e-07	1.86266e-09
-140	-2.23518e-07	-9.3133e-10
