"Current","Field","Frequency","Spectra"
9.6792,145.188,1,-0.9171471382086817
9.6792,145.188,1.003125,-0.8753773332128414
9.6792,145.188,1.00625,-0.8387855351701745
9.6792,145.188,1.0093750000000001,-0.8077422569437155
9.6792,145.188,1.0125,-0.7833666134217604
9.6792,145.188,1.015625,-0.771278469675558
9.6792,145.188,1.01875,-0.7674366128946777
9.6792,145.188,1.021875,-0.776105544352153
9.6792,145.188,1.0250000000000001,-0.7968806619344366
9.6792,145.188,1.028125,-0.8324916006468553
9.6792,145.188,1.03125,-0.8779787537751105
9.6792,145.188,1.034375,-0.9362618919592622
9.6792,145.188,1.0375,-1.0004598312959223
9.6792,145.188,1.0406250000000001,-1.0666410946136533
9.6792,145.188,1.04375,-1.136183612570435
9.6792,145.188,1.046875,-1.2015579326615953
9.6792,145.188,1.05,-1.2668472907613797
9.6792,145.188,1.053125,-1.3227556415682504
9.6792,145.188,1.0562500000000001,-1.369761217407003
9.6792,145.188,1.059375,-1.405818049743413
9.6792,145.188,1.0625,-1.4288995882492825
9.6792,145.188,1.065625,-1.4421964844065025
9.6792,145.188,1.06875,-1.4423990423337298
9.6792,145.188,1.0718750000000001,-1.4324509181633394
9.6792,145.188,1.0750000000000002,-1.4116404269304617
9.6792,145.188,1.078125,-1.3811199585741232
9.6792,145.188,1.08125,-1.3388512836759299
9.6792,145.188,1.084375,-1.2932576479565714
9.6792,145.188,1.0875000000000001,-1.240123286655313
9.6792,145.188,1.0906250000000002,-1.185967725844534
9.6792,145.188,1.09375,-1.1373449896796641
9.6792,145.188,1.096875,-1.0791408132758293
9.6792,145.188,1.1,-1.03565974429754
9.6792,145.188,1.1031250000000001,-0.9930106401745018
9.6792,145.188,1.1062500000000002,-0.9481681466304048
9.6792,145.188,1.109375,-0.9176948199443831
9.6792,145.188,1.1125,-0.8964323150222185
9.6792,145.188,1.115625,-0.8876327882591749
9.6792,145.188,1.1187500000000001,-0.8873546865306194
9.6792,145.188,1.1218750000000002,-0.8971288465544159
9.6792,145.188,1.125,-0.9104721943210324
9.6792,145.188,1.128125,-0.9370250721169243
9.6792,145.188,1.13125,-0.966644490058292
9.6792,145.188,1.1343750000000001,-1.0032068323592833
9.6792,145.188,1.1375000000000002,-1.045838204024734
9.6792,145.188,1.140625,-1.0861616126415776
9.6792,145.188,1.14375,-1.1232736421604004
9.6792,145.188,1.146875,-1.1573333619734627
9.6792,145.188,1.1500000000000001,-1.1881114901903262
9.6792,145.188,1.1531250000000002,-1.2136332693363985
9.6792,145.188,1.15625,-1.2287418430523163
9.6792,145.188,1.159375,-1.2365009840968002
9.6792,145.188,1.1625,-1.2331075562623874
9.6792,145.188,1.1656250000000001,-1.2206698906781497
9.6792,145.188,1.1687500000000002,-1.1988283405409714
9.6792,145.188,1.171875,-1.1700566912679764
9.6792,145.188,1.175,-1.1300056424277132
9.6792,145.188,1.178125,-1.0850495118686116
9.6792,145.188,1.1812500000000001,-1.0360625719683698
9.6792,145.188,1.1843750000000002,-0.984003919827817
9.6792,145.188,1.1875,-0.9323791733374919
9.6792,145.188,1.190625,-0.8827511338614514
9.6792,145.188,1.19375,-0.8420457535840677
9.6792,145.188,1.1968750000000001,-0.8077659051870433
9.6792,145.188,1.2000000000000002,-0.7837798010556913
9.6792,145.188,1.203125,-0.7743987562794798
9.6792,145.188,1.20625,-0.780838234607268
9.6792,145.188,1.209375,-0.8010774961770943
9.6792,145.188,1.2125000000000001,-0.834967090651999
9.6792,145.188,1.2156250000000002,-0.8827655955256164
9.6792,145.188,1.21875,-0.9374604286545994
9.6792,145.188,1.221875,-1.002779898352518
9.6792,145.188,1.225,-1.0768642106964434
9.6792,145.188,1.2281250000000001,-1.156857589095341
9.6792,145.188,1.2312500000000002,-1.2301116065155868
9.6792,145.188,1.234375,-1.30003678193946
9.6792,145.188,1.2375,-1.3583860660359486
9.6792,145.188,1.240625,-1.4078324324216678
9.6792,145.188,1.2437500000000001,-1.4564728856067415
9.6792,145.188,1.2468750000000002,-1.4933196157699005
9.6792,145.188,1.25,-1.5148792471071835
9.6792,145.188,1.253125,-1.5165425037535836
9.6792,145.188,1.25625,-1.5009767886226553
9.6792,145.188,1.2593750000000001,-1.472217945479183
9.6792,145.188,1.2625000000000002,-1.4530739308552676
9.6792,145.188,1.265625,-1.4236445037223122
9.6792,145.188,1.26875,-1.3838164879321035
9.6792,145.188,1.271875,-1.3359514944802156
9.6792,145.188,1.2750000000000001,-1.2782143210138077
9.6792,145.188,1.2781250000000002,-1.2217606350706682
9.6792,145.188,1.28125,-1.1733530660525424
9.6792,145.188,1.284375,-1.1375902085482483
9.6792,145.188,1.2875,-1.099236330363875
9.6792,145.188,1.2906250000000001,-1.0637433942739063
9.6792,145.188,1.2937500000000002,-1.0403947631880415
9.6792,145.188,1.296875,-1.0269329125881028
9.6792,145.188,1.3,-1.0224410662161778
9.6792,145.188,1.303125,-1.0362375440967693
9.6792,145.188,1.3062500000000001,-1.0543374408719095
9.6792,145.188,1.3093750000000002,-1.0782776847686686
9.6792,145.188,1.3125,-1.11553823345904
9.6792,145.188,1.315625,-1.1553999130189787
9.6792,145.188,1.31875,-1.2002140608901608
9.6792,145.188,1.3218750000000001,-1.2443773274339214
9.6792,145.188,1.3250000000000002,-1.2861193151688166
9.6792,145.188,1.328125,-1.3258077328758824
9.6792,145.188,1.33125,-1.3553768294535358
9.6792,145.188,1.334375,-1.3777994352498841
9.6792,145.188,1.3375000000000001,-1.392894959637566
9.6792,145.188,1.3406250000000002,-1.3975736088642978
9.6792,145.188,1.34375,-1.3891970436923944
9.6792,145.188,1.346875,-1.3738729579028717
9.6792,145.188,1.35,-1.3471754731012362
9.6792,145.188,1.3531250000000001,-1.3105201553200205
9.6792,145.188,1.3562500000000002,-1.2656846087068587
9.6792,145.188,1.359375,-1.2182334212284454
9.6792,145.188,1.3625,-1.160706503200025
9.6792,145.188,1.365625,-1.0985903628571827
9.6792,145.188,1.3687500000000001,-1.0435930645319462
9.6792,145.188,1.3718750000000002,-0.9879035159033522
9.6792,145.188,1.375,-0.9388327673165975
9.6792,145.188,1.378125,-0.897432690408901
9.6792,145.188,1.38125,-0.8651792669590069
9.6792,145.188,1.3843750000000001,-0.8404776951217269
9.6792,145.188,1.3875000000000002,-0.8310832109740075
9.6792,145.188,1.390625,-0.8380928016888946
9.6792,145.188,1.39375,-0.8597196256962191
9.6792,145.188,1.396875,-0.9000331199662531
9.6792,145.188,1.4000000000000001,-0.9537845387885879
9.6792,145.188,1.4031250000000002,-1.0076425815447556
9.6792,145.188,1.40625,-1.0725702165629465
9.6792,145.188,1.409375,-1.1446529398784002
9.6792,145.188,1.4125,-1.222096001454316
9.6792,145.188,1.4156250000000001,-1.297293678591295
9.6792,145.188,1.4187500000000002,-1.37045587085602
9.6792,145.188,1.421875,-1.4357407966205824
9.6792,145.188,1.425,-1.4872423219747766
9.6792,145.188,1.428125,-1.5323352144483962
9.6792,145.188,1.4312500000000001,-1.5667031675258
9.6792,145.188,1.4343750000000002,-1.585581885140752
9.6792,145.188,1.4375,-1.5955574715338192
9.6792,145.188,1.440625,-1.591359706396755
9.6792,145.188,1.44375,-1.5775564759457978
9.6792,145.188,1.4468750000000001,-1.550802419480866
9.6792,145.188,1.4500000000000002,-1.5151760679627988
9.6792,145.188,1.453125,-1.47181587530691
9.6792,145.188,1.45625,-1.4212857759443125
9.6792,145.188,1.459375,-1.3683074697416187
9.6792,145.188,1.4625000000000001,-1.3139063815466434
9.6792,145.188,1.4656250000000002,-1.2635479445727495
9.6792,145.188,1.46875,-1.2132722914784295
9.6792,145.188,1.471875,-1.1744416665288817
9.6792,145.188,1.475,-1.1438387515960338
9.6792,145.188,1.4781250000000001,-1.121736795610931
9.6792,145.188,1.4812500000000002,-1.1147604785388026
9.6792,145.188,1.484375,-1.1205942700115472
9.6792,145.188,1.4875,-1.1421946322551597
9.6792,145.188,1.490625,-1.1764572171893235
9.6792,145.188,1.4937500000000001,-1.2189984495153643
9.6792,145.188,1.4968750000000002,-1.2738000353110468
9.6792,145.188,1.5,-1.327255856651649
9.6792,145.188,1.503125,-1.3845928456389958
9.6792,145.188,1.50625,-1.4384990622598781
9.6792,145.188,1.5093750000000001,-1.4897922966992219
9.6792,145.188,1.5125000000000002,-1.5321487434028738
9.6792,145.188,1.515625,-1.5660759030604323
9.6792,145.188,1.51875,-1.593220097455634
9.6792,145.188,1.521875,-1.603448482284463
9.6792,145.188,1.5250000000000001,-1.5999653009954615
9.6792,145.188,1.5281250000000002,-1.5875313229789147
9.6792,145.188,1.53125,-1.5660036051719146
9.6792,145.188,1.534375,-1.5343295654300773
9.6792,145.188,1.5375,-1.4984493818765006
9.6792,145.188,1.5406250000000001,-1.4526251135879853
9.6792,145.188,1.5437500000000002,-1.4008974627176818
9.6792,145.188,1.546875,-1.3398426355666846
9.6792,145.188,1.55,-1.2806995199642743
9.6792,145.188,1.553125,-1.219475237990714
9.6792,145.188,1.5562500000000001,-1.1595676223548645
9.6792,145.188,1.5593750000000002,-1.1047182360009613
