"Current","Field","Frequency","Spectra"
3.2944,49.416,1,-1.4393262598649934
3.2944,49.416,1.003125,-1.3973187022883093
3.2944,49.416,1.00625,-1.3616780728307147
3.2944,49.416,1.0093750000000001,-1.336123605844651
3.2944,49.416,1.0125,-1.3270167454304296
3.2944,49.416,1.015625,-1.3274280618880017
3.2944,49.416,1.01875,-1.3420943101889242
3.2944,49.416,1.021875,-1.3640526413522271
3.2944,49.416,1.0250000000000001,-1.4036610678287493
3.2944,49.416,1.028125,-1.4511809335396875
3.2944,49.416,1.03125,-1.5093573385929038
3.2944,49.416,1.034375,-1.5740705972209001
3.2944,49.416,1.0375,-1.6463534877832324
3.2944,49.416,1.0406250000000001,-1.7168710076508409
3.2944,49.416,1.04375,-1.7843781901651288
3.2944,49.416,1.046875,-1.8535297782730353
3.2944,49.416,1.05,-1.9150929216830597
3.2944,49.416,1.053125,-1.9684919691699043
3.2944,49.416,1.0562500000000001,-2.015949132707087
3.2944,49.416,1.059375,-2.053701756631062
3.2944,49.416,1.0625,-2.077177031402519
3.2944,49.416,1.065625,-2.0946601177031012
3.2944,49.416,1.06875,-2.096788271955275
3.2944,49.416,1.0718750000000001,-2.0938627297304415
3.2944,49.416,1.0750000000000002,-2.075910324534819
3.2944,49.416,1.078125,-2.0493538091890713
3.2944,49.416,1.08125,-2.010134444914768
3.2944,49.416,1.084375,-1.9619427873667326
3.2944,49.416,1.0875000000000001,-1.9074433068180576
3.2944,49.416,1.0906250000000002,-1.849363763276612
3.2944,49.416,1.09375,-1.7975637290315973
3.2944,49.416,1.096875,-1.729932257142105
3.2944,49.416,1.1,-1.6777369607554165
3.2944,49.416,1.1031250000000001,-1.6339586523251912
3.2944,49.416,1.1062500000000002,-1.5855483013362601
3.2944,49.416,1.109375,-1.5537201176708875
3.2944,49.416,1.1125,-1.5311062514247769
3.2944,49.416,1.115625,-1.5282397085141533
3.2944,49.416,1.1187500000000001,-1.5337534264158332
3.2944,49.416,1.1218750000000002,-1.548451414282237
3.2944,49.416,1.125,-1.5747309269817578
3.2944,49.416,1.128125,-1.6084928713495752
