"Current","Field","Frequency","Spectra"
2.8653,42.98,1,-1.4420351061424064
2.8653,42.98,1.003125,-1.3958979974099912
2.8653,42.98,1.00625,-1.3602484107734498
2.8653,42.98,1.0093750000000001,-1.3370084923874257
2.8653,42.98,1.0125,-1.325207983028169
2.8653,42.98,1.015625,-1.3272812275356196
2.8653,42.98,1.01875,-1.3378407522843163
2.8653,42.98,1.021875,-1.3638590759655689
2.8653,42.98,1.0250000000000001,-1.4008246232392494
2.8653,42.98,1.028125,-1.448603177708048
2.8653,42.98,1.03125,-1.5087308266249344
2.8653,42.98,1.034375,-1.573363809600682
2.8653,42.98,1.0375,-1.6430460510375797
2.8653,42.98,1.0406250000000001,-1.7130162290290434
2.8653,42.98,1.04375,-1.7814338792350595
2.8653,42.98,1.046875,-1.84859109043516
2.8653,42.98,1.05,-1.9128633676360782
2.8653,42.98,1.053125,-1.9662465273686813
2.8653,42.98,1.0562500000000001,-2.0117767332108736
2.8653,42.98,1.059375,-2.0505910267778353
2.8653,42.98,1.0625,-2.076177204412263
2.8653,42.98,1.065625,-2.088896428124917
2.8653,42.98,1.06875,-2.093045060213457
2.8653,42.98,1.0718750000000001,-2.0876673974073263
2.8653,42.98,1.0750000000000002,-2.0708476085921443
2.8653,42.98,1.078125,-2.0437457641363963
2.8653,42.98,1.08125,-2.0075429076970246
2.8653,42.98,1.084375,-1.9597115540484389
2.8653,42.98,1.0875000000000001,-1.9023124385430532
2.8653,42.98,1.0906250000000002,-1.8458820418553739
2.8653,42.98,1.09375,-1.7948464242932507
2.8653,42.98,1.096875,-1.7265326383275268
2.8653,42.98,1.1,-1.6755590745743039
2.8653,42.98,1.1031250000000001,-1.6319172718371049
2.8653,42.98,1.1062500000000002,-1.5827855287422996
2.8653,42.98,1.109375,-1.5478081928096632
2.8653,42.98,1.1125,-1.5278500661007408
2.8653,42.98,1.115625,-1.5208616068281613
2.8653,42.98,1.1187500000000001,-1.531454452956877
2.8653,42.98,1.1218750000000002,-1.5468667166776306
2.8653,42.98,1.125,-1.5704714685525067
2.8653,42.98,1.128125,-1.6048409583365113
2.8653,42.98,1.13125,-1.6401697851315902
2.8653,42.98,1.1343750000000001,-1.6853359710895086
2.8653,42.98,1.1375000000000002,-1.7234054482010572
2.8653,42.98,1.140625,-1.7617235580244368
2.8653,42.98,1.14375,-1.78836667243164
2.8653,42.98,1.146875,-1.8112728603066155
2.8653,42.98,1.1500000000000001,-1.8229237775906926
2.8653,42.98,1.1531250000000002,-1.829950364737819
2.8653,42.98,1.15625,-1.8260653287022128
2.8653,42.98,1.159375,-1.8114167797046943
2.8653,42.98,1.1625,-1.790435213228326
2.8653,42.98,1.1656250000000001,-1.7621679652692268
2.8653,42.98,1.1687500000000002,-1.732375723805935
2.8653,42.98,1.171875,-1.6969770886960747
2.8653,42.98,1.175,-1.6586611925689212
2.8653,42.98,1.178125,-1.6201095654020834
2.8653,42.98,1.1812500000000001,-1.5758880383266705
2.8653,42.98,1.1843750000000002,-1.540628914955933
2.8653,42.98,1.1875,-1.505347709004108
2.8653,42.98,1.190625,-1.4737617003008443
2.8653,42.98,1.19375,-1.457369611162878
2.8653,42.98,1.1968750000000001,-1.4428604147913786
2.8653,42.98,1.2000000000000002,-1.4387103656537057
2.8653,42.98,1.203125,-1.448734473771791
2.8653,42.98,1.20625,-1.4725718030811161
2.8653,42.98,1.209375,-1.5064482002313166
2.8653,42.98,1.2125000000000001,-1.5546362222377628
2.8653,42.98,1.2156250000000002,-1.6134268549351494
2.8653,42.98,1.21875,-1.6718507719767497
2.8653,42.98,1.221875,-1.740700801109412
2.8653,42.98,1.225,-1.8190384023453243
2.8653,42.98,1.2281250000000001,-1.8930885986940293
2.8653,42.98,1.2312500000000002,-1.9662539618802088
2.8653,42.98,1.234375,-2.0282115556720925
2.8653,42.98,1.2375,-2.0818658196846855
2.8653,42.98,1.240625,-2.1225188816311373
2.8653,42.98,1.2437500000000001,-2.164853340571227
2.8653,42.98,1.2468750000000002,-2.189340845389682
2.8653,42.98,1.25,-2.1992304738039445
2.8653,42.98,1.253125,-2.1929720570153184
2.8653,42.98,1.25625,-2.1660761311353443
2.8653,42.98,1.2593750000000001,-2.1287262969680993
2.8653,42.98,1.2625000000000002,-2.0980009331351592
2.8653,42.98,1.265625,-2.0540418764505493
2.8653,42.98,1.26875,-2.001588519001015
2.8653,42.98,1.271875,-1.94469232420799
2.8653,42.98,1.2750000000000001,-1.882170912763185
2.8653,42.98,1.2781250000000002,-1.8192944006158989
2.8653,42.98,1.28125,-1.7634425788283572
2.8653,42.98,1.284375,-1.725991997271366
2.8653,42.98,1.2875,-1.690448383542785
2.8653,42.98,1.2906250000000001,-1.6623577793686592
2.8653,42.98,1.2937500000000002,-1.6457879819429584
2.8653,42.98,1.296875,-1.6433311247751052
2.8653,42.98,1.3,-1.650510807999208
2.8653,42.98,1.303125,-1.679873848921053
2.8653,42.98,1.3062500000000001,-1.7162300920840503
2.8653,42.98,1.3093750000000002,-1.756299207966145
2.8653,42.98,1.3125,-1.8055355396456072
2.8653,42.98,1.315625,-1.8609984197254061
2.8653,42.98,1.31875,-1.9135291426756873
2.8653,42.98,1.3218750000000001,-1.9612253206522596
2.8653,42.98,1.3250000000000002,-2.004303633131638
2.8653,42.98,1.328125,-2.0416551042265754
2.8653,42.98,1.33125,-2.064485146104794
2.8653,42.98,1.334375,-2.079576132200306
2.8653,42.98,1.3375000000000001,-2.084012114667794
2.8653,42.98,1.3406250000000002,-2.0789827949989754
2.8653,42.98,1.34375,-2.0653396482781345
2.8653,42.98,1.346875,-2.0389083955841545
2.8653,42.98,1.35,-2.0051904623421555
2.8653,42.98,1.3531250000000001,-1.9635880435692328
2.8653,42.98,1.3562500000000002,-1.9182110963780319
2.8653,42.98,1.359375,-1.8707838787364688
2.8653,42.98,1.3625,-1.814801542603984
2.8653,42.98,1.365625,-1.7594833221222206
2.8653,42.98,1.3687500000000001,-1.7048215573121683
2.8653,42.98,1.3718750000000002,-1.6552366950492927
2.8653,42.98,1.375,-1.6156983865614238
2.8653,42.98,1.378125,-1.5791206893374414
2.8653,42.98,1.38125,-1.5519732302411915
2.8653,42.98,1.3843750000000001,-1.5368667430494432
2.8653,42.98,1.3875000000000002,-1.5331249968868867
2.8653,42.98,1.390625,-1.5456405092102865
2.8653,42.98,1.39375,-1.5740777880516135
2.8653,42.98,1.396875,-1.6208088478543814
2.8653,42.98,1.4000000000000001,-1.6801983372457139
2.8653,42.98,1.4031250000000002,-1.7377479587918023
2.8653,42.98,1.40625,-1.8085919719678794
2.8653,42.98,1.409375,-1.8849835347667943
