"Current","Field","Frequency","Spectra"
4.8195,72.292,1,-1.654551301945775
4.8195,72.292,1.003125,-1.61658363993769
4.8195,72.292,1.00625,-1.5823965749576154
4.8195,72.292,1.0093750000000001,-1.5606085348747318
4.8195,72.292,1.0125,-1.5491404448006207
4.8195,72.292,1.015625,-1.548375430471956
4.8195,72.292,1.01875,-1.5634938857152925
4.8195,72.292,1.021875,-1.5862028470544487
4.8195,72.292,1.0250000000000001,-1.6255245141004373
4.8195,72.292,1.028125,-1.6790295146544596
4.8195,72.292,1.03125,-1.7401770496581301
4.8195,72.292,1.034375,-1.8123701155233387
4.8195,72.292,1.0375,-1.8885950935659748
4.8195,72.292,1.0406250000000001,-1.9692423946874416
4.8195,72.292,1.04375,-2.043835578286475
4.8195,72.292,1.046875,-2.1159843547374533
4.8195,72.292,1.05,-2.1838066367140727
4.8195,72.292,1.053125,-2.2395060833408094
4.8195,72.292,1.0562500000000001,-2.2862107113612153
4.8195,72.292,1.059375,-2.322533757459383
4.8195,72.292,1.0625,-2.3467935550015446
4.8195,72.292,1.065625,-2.3562073324444794
4.8195,72.292,1.06875,-2.3577210025528013
4.8195,72.292,1.0718750000000001,-2.3470502055044955
4.8195,72.292,1.0750000000000002,-2.326976028263586
4.8195,72.292,1.078125,-2.2956220537996512
4.8195,72.292,1.08125,-2.2575563313628777
4.8195,72.292,1.084375,-2.213107413922424
4.8195,72.292,1.0875000000000001,-2.1621664635016105
4.8195,72.292,1.0906250000000002,-2.1106663785282613
4.8195,72.292,1.09375,-2.06872384494581
4.8195,72.292,1.096875,-2.011978061008825
4.8195,72.292,1.1,-1.9714426348978153
4.8195,72.292,1.1031250000000001,-1.9363464815113787
4.8195,72.292,1.1062500000000002,-1.8933050975347845
4.8195,72.292,1.109375,-1.8635713320441247
4.8195,72.292,1.1125,-1.846190332486263
4.8195,72.292,1.115625,-1.8349388310806438
4.8195,72.292,1.1187500000000001,-1.834801000091808
4.8195,72.292,1.1218750000000002,-1.8394036695372649
